Report Date,No,Item,Size,Price,Quantity,Notes
11/09/2024,7,2 Color Polo Shirt (tiger pattern color),Large,800,30,
11/09/2024,7,2 Color Polo Shirt (tiger pattern color),XL,800,40,
11/09/2024,7,2 Color Polo Shirt (tiger pattern color),2XL,800,30,
11/09/2024,8,2 Color Polo Shirt (white w/black scratch),Small,800,11,"S,M,L,2XL -  5 each (05-13-25)"
11/09/2024,8,2 Color Polo Shirt (white w/black scratch),Medium,800,39,
11/09/2024,8,2 Color Polo Shirt (white w/black scratch),Large,800,35,
11/09/2024,8,2 Color Polo Shirt (white w/black scratch),XL,800,40,
11/09/2024,8,2 Color Polo Shirt (white w/black scratch),2XL,800,30,
11/09/2024,9,2 Color Polo Shirt (yelow w/black scratch),Small,800,8,"medium -2xl , M- 5 (05-13-25)"
11/09/2024,9,2 Color Polo Shirt (yelow w/black scratch),Medium,800,49,all sizes for 10 pcs.
11/09/2024,9,2 Color Polo Shirt (yelow w/black scratch),Large,800,49,12/11/2024
11/09/2024,9,2 Color Polo Shirt (yelow w/black scratch),XL,800,50,
11/09/2024,9,2 Color Polo Shirt (yelow w/black scratch),2XL,800,30,
11/09/2024,10,2 Color Polo Shirt (white w/yellow collar),Medium,800,48,10 pcs. - 11/16/2024
11/09/2024,11,2 Color Polo Shirt (white w/yellow sleeves),Small,800,6,L-5 (05-13-25)
11/09/2024,11,2 Color Polo Shirt (white w/yellow sleeves),Medium,800,40,
11/09/2024,11,2 Color Polo Shirt (white w/yellow sleeves),Large,800,46,
11/09/2024,12,2 Color Polo Shirt (white w/black collar),Medium,800,40,
11/09/2024,12,2 Color Polo Shirt (white w/black collar),Large,800,30,
11/09/2024,13,2 Color Polo Shirt (white w/black sleeves),Medium,800,30,L-5(05-13-25)
11/09/2024,13,2 Color Polo Shirt (white w/black sleeves),Large,800,38,
11/09/2024,13,2 Color Polo Shirt (white w/black sleeves),XL,800,40,
11/09/2024,14,2 Color Polo Shirt (white w/black top w/yellow line),Medium,800,40,Medium - 20 pcs. (03-18-25)
11/09/2024,14,2 Color Polo Shirt (white w/black top w/yellow line),Large,800,40,Large - 5 pcs. (05-13-25)
