Date,Item,Total Quantity,Supplier,canonical_item_name
2024-05-03,UST T-Shirt (College Shirt),0,JUC,UST T-Shirt (College Shirt)
2024-05-03,UST T-Shirt Happy Tiger,0,JUC,UST T-Shirt Happy Tiger
2024-05-03,UST T-Shirt Sporty,10,JUC,UST T-Shirt Sporty
2024-05-03,UST T-Shirt Tiger Pattern,0,JUC,UST T-Shirt Tiger Pattern
2024-05-03,GT 375,0,JYL ATHLETICA,GT 375
2024-05-03,Jacket @1900,0,JYL ATHLETICA,Jacket
2024-05-03,Poloshirt 123456 @860,1,JYL ATHLETICA,Poloshirt 123456 @860
2024-05-03,Poloshirt 3 Colors @800,0,JYL ATHLETICA,Poloshirt 3 Colors
2024-05-03,VB Jersey with Sig. @1800,0,JYL ATHLETICA,VB Jersey with Sig. @1800
2024-05-03,VB Jersey with Sig. @2800,0,JYL ATHLETICA,VB Jersey with Sig. @2800
2024-05-03,VB Jersey without Sig @1000,0,JYL ATHLETICA,VB Jersey without Sig @1000
2024-05-03,VB Jersey without Sig @1500,0,JYL ATHLETICA,VB Jersey without Sig @1500
2024-05-03,VB Jersey without Sig @2000,0,JYL ATHLETICA,VB Jersey without Sig @2000
2024-05-03,Retractable @25,0,MITSUI,Retractable @25
2024-05-03,Stylus pen @45,0,MITSUI,Stylus pen @45
2024-05-03,Back pack,0,NAPOLIZ ENTERPRISES,Back pack
2024-05-03,Cane Umbrella,0,NAPOLIZ ENTERPRISES,Cane Umbrella
2024-05-03,Hoodies Breaker,4,NAPOLIZ ENTERPRISES,Hoodies Breaker
2024-05-03,Laptop Bag,0,NAPOLIZ ENTERPRISES,Laptop Bag
2024-05-03,Shirts,17,NAPOLIZ ENTERPRISES,Shirts
2024-05-03,Sling Bag,0,NAPOLIZ ENTERPRISES,Sling Bag
2024-05-03,Tote Bag Black,0,NAPOLIZ ENTERPRISES,Tote Bag Black
2024-05-03,Tote Bag White,3,NAPOLIZ ENTERPRISES,White Tote Bag
2024-05-03,Arch @320,0,TET AND DARS,Arch @320
2024-05-03,Eco Bag @ 130,0,TET AND DARS,Eco Bag @ 130
2024-05-03,Eco Bag @80,0,TET AND DARS,Eco Bag @80
2024-05-03,Keychain @160,0,TET AND DARS,Keychain @160
2024-05-03,Main Building,1,TET AND DARS,Main Building
2024-05-03,Mug @170,1,TET AND DARS,Mug @170
2024-05-03,Notebook @220,0,TET AND DARS,Notebook @220
2024-05-03,Pen @ 50,0,TET AND DARS,Pen @ 50
2024-05-03,Pen @25,0,TET AND DARS,Pen @25
2024-05-03,Sticker @ 115,3,TET AND DARS,Sticker @ 115
2024-05-03,Sticker @20,0,TET AND DARS,Sticker @20
2024-05-03,Auto Umbrella,0,USTORE,Auto Umbrella
2024-05-03,Bag,0,USTORE,Bag
2024-05-03,Eco Bag CGEEE!,0,USTORE,Eco Bag CGEEE!
2024-05-03,Keychain,3,USTORE,Keychain
2024-05-03,Kit Set,0,USTORE,Kit Set
2024-05-03,Lanyard @180,0,USTORE,Lanyard @180
