Date,Item,Total Quantity,Supplier
03/05/2024,Mug @170,1,TET AND DARS
03/05/2024,Notebook @220,0,TET AND DARS
03/05/2024,Pen @ 50,0,TET AND DARS
03/05/2024,Pen @25,0,TET AND DARS
03/05/2024,Sticker @ 115,3,TET AND DARS
03/05/2024,Sticker @20,0,TET AND DARS
03/05/2024,Auto Umbrella,0,USTORE
03/05/2024,Bag,0,USTORE
03/05/2024,Eco Bag CGEEE!,0,USTORE
03/05/2024,Keychain,3,USTORE
03/05/2024,Kit Set,0,USTORE
03/05/2024,Lanyard @180,0,USTORE
03/05/2024,Lanyard @190,0,USTORE
03/05/2024,NB @100,1,USTORE
03/05/2024,NB @75,0,USTORE
03/05/2024,Sash Big,0,USTORE
03/05/2024,Sash Small,1,USTORE
03/05/2024,Shabby Hat,4,USTORE
03/05/2024,Tiger Stuff Toy Small Grad,26,USTORE
03/05/2024,Tote (One For UST),2,USTORE
03/05/2024,Tote Bag Canvas White,8,USTORE
03/05/2024,Tote Bag CGEEE!,0,USTORE
03/05/2024,Tubler @150,4,USTORE
03/05/2024,Umb (One For UST),16,USTORE
03/05/2024,Umb Old,0,USTORE
03/05/2024,Umb. Cane,0,USTORE
03/05/2024,Utensil,0,USTORE
03/05/2024,Baller,0,VARSITY LIFE STYLE
03/05/2024,Caps,0,VARSITY LIFE STYLE
03/05/2024,Hoodie,0,VARSITY LIFE STYLE
03/05/2024,Keychain,0,VARSITY LIFE STYLE
03/05/2024,Lanyard,0,VARSITY LIFE STYLE
03/05/2024,Long Sticker,0,VARSITY LIFE STYLE
03/05/2024,Oversized Sweatshirt,0,VARSITY LIFE STYLE
03/05/2024,Scarves,0,VARSITY LIFE STYLE
03/05/2024,Shirts,0,VARSITY LIFE STYLE
03/05/2024,Sticker Pack,0,VARSITY LIFE STYLE
03/05/2024,Varsity Jacket,0,VARSITY LIFE STYLE
04/05/2024,Crew Neck Shirt @475,0,BLAZE
04/05/2024,Polo Shirt @800,0,BLAZE
04/05/2024,Socks @375,0,BLAZE
04/05/2024,Sublimation Shirt,2,CENTRAL SEMINARY
04/05/2024,OAT Tote Bag (Phased Out),0,JUC
04/05/2024,UST College ID Lace,0,JUC
04/05/2024,UST OAT Hoodie Jacket,2,JUC
04/05/2024,UST OAT MUG (W inside),0,JUC
04/05/2024,UST OAT MUG (Y/B inside),0,JUC
04/05/2024,UST Santo Tomas Script T-Shirt,0,JUC
04/05/2024,UST T-Shirt (College Shirt),0,JUC
04/05/2024,UST T-Shirt Happy Tiger,6,JUC
04/05/2024,UST T-Shirt Sporty,3,JUC
04/05/2024,UST T-Shirt Tiger Pattern,1,JUC
04/05/2024,GT 375,0,JYL ATHLETICA
04/05/2024,Jacket @1900,0,JYL ATHLETICA
04/05/2024,Poloshirt 123456 @860,0,JYL ATHLETICA
04/05/2024,Poloshirt 3 Colors @800,0,JYL ATHLETICA
04/05/2024,VB Jersey with Sig. @1800,0,JYL ATHLETICA
04/05/2024,VB Jersey with Sig. @2800,0,JYL ATHLETICA
04/05/2024,VB Jersey without Sig @1000,0,JYL ATHLETICA
04/05/2024,VB Jersey without Sig @1500,0,JYL ATHLETICA
04/05/2024,VB Jersey without Sig @2000,0,JYL ATHLETICA
04/05/2024,Retractable @25,0,MITSUI
04/05/2024,Stylus pen @45,0,MITSUI
04/05/2024,Back pack,0,NAPOLIZ ENTERPRISES
04/05/2024,Cane Umbrella,0,NAPOLIZ ENTERPRISES
04/05/2024,Hoodies Breaker,2,NAPOLIZ ENTERPRISES
04/05/2024,Laptop Bag,0,NAPOLIZ ENTERPRISES
04/05/2024,Shirts,5,NAPOLIZ ENTERPRISES
04/05/2024,Sling Bag,0,NAPOLIZ ENTERPRISES
04/05/2024,Tote Bag Black,0,NAPOLIZ ENTERPRISES
04/05/2024,Tote Bag White,0,NAPOLIZ ENTERPRISES
04/05/2024,Arch @320,0,TET AND DARS
04/05/2024,Eco Bag @ 130,0,TET AND DARS
04/05/2024,Eco Bag @80,0,TET AND DARS
04/05/2024,Keychain @160,0,TET AND DARS
04/05/2024,Main Building,0,TET AND DARS
04/05/2024,Mug @170,0,TET AND DARS
04/05/2024,Notebook @220,0,TET AND DARS
04/05/2024,Pen @ 50,0,TET AND DARS
04/05/2024,Pen @25,0,TET AND DARS
04/05/2024,Sticker @ 115,0,TET AND DARS
04/05/2024,Sticker @20,0,TET AND DARS
04/05/2024,Auto Umbrella,0,USTORE
04/05/2024,Bag,0,USTORE
04/05/2024,Eco Bag CGEEE!,0,USTORE
04/05/2024,Keychain,1,USTORE
04/05/2024,Kit Set,0,USTORE
04/05/2024,Lanyard @180,0,USTORE
04/05/2024,Lanyard @190,1,USTORE
04/05/2024,NB @100,0,USTORE
04/05/2024,NB @75,0,USTORE
04/05/2024,Sash Big,2,USTORE
04/05/2024,Sash Small,2,USTORE
04/05/2024,Shabby Hat,0,USTORE
04/05/2024,Tiger Stuff Toy Small Grad,4,USTORE
04/05/2024,Tote (One For UST),1,USTORE
04/05/2024,Tote Bag Canvas White,1,USTORE
04/05/2024,Tote Bag CGEEE!,0,USTORE
04/05/2024,Tubler @150,2,USTORE
04/05/2024,Umb (One For UST),0,USTORE
04/05/2024,Umb Old,0,USTORE
04/05/2024,Umb. Cane,0,USTORE
04/05/2024,Utensil,0,USTORE
04/05/2024,Baller,0,VARSITY LIFE STYLE
04/05/2024,Caps,0,VARSITY LIFE STYLE
04/05/2024,Hoodie,0,VARSITY LIFE STYLE
04/05/2024,Keychain,0,VARSITY LIFE STYLE
04/05/2024,Lanyard,2,VARSITY LIFE STYLE
04/05/2024,Long Sticker,0,VARSITY LIFE STYLE
04/05/2024,Oversized Sweatshirt,0,VARSITY LIFE STYLE
04/05/2024,Scarves,0,VARSITY LIFE STYLE
04/05/2024,Shirts,0,VARSITY LIFE STYLE
04/05/2024,Sticker Pack,0,VARSITY LIFE STYLE
04/05/2024,Varsity Jacket,0,VARSITY LIFE STYLE
06/05/2024,Crew Neck Shirt @475,0,BLAZE
06/05/2024,Polo Shirt @800,1,BLAZE
