Date,Item,Total Quantity,Supplier,imputation_flag,weight
19/03/2025,Notelet,7,USTORE,0,1
19/03/2025,Tiger BUNDLE,1,USTORE,0,1
19/03/2025,Tote (One For UST),3,USTORE,0,1
19/03/2025,Tote (Viva),1,USTORE,0,1
19/03/2025,Umb (One For UST),10,USTORE,0,1
20/03/2025,Polo Shirt @800,1,BLAZE,0,1
20/03/2025,UST College ID Lace,5,JUC,0,1
20/03/2025,UST OAT T-Shirt Y/B/COLLEGE,1,JUC,0,1
20/03/2025,UST Sweatshirt Sporty,1,JUC,0,1
20/03/2025,UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY,4,JUC,0,1
20/03/2025,UST T-Shirt Sporty,2,JUC,0,1
20/03/2025,UST T-Shirt Sporty UPSIZE (3XL-5XL),1,JUC,0,1
20/03/2025,BASE BALL SHIRT,1,JYL ATHLETICA,0,1
20/03/2025,DRI-FIT NEW,1,JYL ATHLETICA,0,1
20/03/2025,Poloshirt @800,2,JYL ATHLETICA,0,1
20/03/2025,Hoodies Breaker,1,NAPOLIZ ENTERPRISES,0,1
20/03/2025,Keychain @180,2,TET AND DARS,0,1
20/03/2025,Sticker @120,1,TET AND DARS,0,1
20/03/2025,C. Keychain,5,USTORE,0,1
20/03/2025,Clappers,6,USTORE,0,1
20/03/2025,Kit Set,1,USTORE,0,1
20/03/2025,Lanyard @180,18,USTORE,0,1
20/03/2025,Lanyard @190,3,USTORE,0,1
20/03/2025,MJ Sticker Large,5,USTORE,0,1
20/03/2025,MJ Sticker Medium,12,USTORE,0,1
20/03/2025,MJ Sticker Small,7,USTORE,0,1
20/03/2025,Tote (Viva),1,USTORE,0,1
20/03/2025,Tote Bag Canvas White,1,USTORE,0,1
20/03/2025,Umb (One For UST),3,USTORE,0,1
21/03/2025,IPEA Shirt,1,ARTS AND LETTERS (SHIRT HAPPENS),0,1
21/03/2025,UST College ID Lace,4,JUC,0,1
21/03/2025,UST OAT Hoodie Jacket,1,JUC,0,1
21/03/2025,UST OAT MUG (W inside),6,JUC,0,1
21/03/2025,UST OAT T-Shirt Y/B/COLLEGE,18,JUC,0,1
21/03/2025,UST Sweatshirt Sporty,1,JUC,0,1
21/03/2025,UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY,7,JUC,0,1
21/03/2025,UST T-Shirt Sporty,1,JUC,0,1
21/03/2025,BASE BALL SHIRT,1,JYL ATHLETICA,0,1
21/03/2025,Cotton Brush Jacket,1,JYL ATHLETICA,0,1
21/03/2025,Cotton Gray Jacket,2,JYL ATHLETICA,0,1
21/03/2025,Jacket,3,JYL ATHLETICA,0,1
21/03/2025,Poloshirt @800,1,JYL ATHLETICA,0,1
21/03/2025,VB Jersey without Sig @1500,1,JYL ATHLETICA,0,1
21/03/2025,Hoodies Breaker,1,NAPOLIZ ENTERPRISES,0,1
21/03/2025,Keychain @180,1,TET AND DARS,0,1
21/03/2025,Aquaflask,1,USTORE,0,1
21/03/2025,C. Keychain,6,USTORE,0,1
21/03/2025,Lanyard @180,12,USTORE,0,1
21/03/2025,MJ Sticker Medium,4,USTORE,0,1
21/03/2025,MJ Sticker Small,4,USTORE,0,1
21/03/2025,New Tiger Plushie Big @850,3,USTORE,0,1
21/03/2025,New Tiger Plushie Small @750,2,USTORE,0,1
21/03/2025,Notelet,6,USTORE,0,1
21/03/2025,Tote (Viva),6,USTORE,0,1
21/03/2025,Tote Bag Canvas White,3,USTORE,0,1
21/03/2025,Umb (One For UST),4,USTORE,0,1
21/03/2025,Shirts,1,VARSITY LIFESTYLE,0,1
22/03/2025,ABSC College Shirt (60th),1,ARTS AND LETTERS (SHIRT HAPPENS),0,1
22/03/2025,UST College ID Lace,2,JUC,0,1
22/03/2025,UST OAT MUG (Y/B inside),19,JUC,0,1
22/03/2025,UST OAT T-Shirt Y/B/COLLEGE,1,JUC,0,1
22/03/2025,UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY,4,JUC,0,1
22/03/2025,UST T-Shirt Sporty,1,JUC,0,1
22/03/2025,Corp Jacket v.3,1,JYL ATHLETICA,1,0.5
22/03/2025,Quiana Black Subli Shirt,2,JYL ATHLETICA,1,0.5
22/03/2025,Quiana Yelloow Subli Shirt,2,JYL ATHLETICA,1,0.5
22/03/2025,Eco Bag @80,1,TET AND DARS,0,1
22/03/2025,Sticker @120,1,TET AND DARS,0,1
22/03/2025,C. Keychain,3,USTORE,0,1
22/03/2025,Lanyard @180,3,USTORE,0,1
22/03/2025,Lanyard @190,5,USTORE,0,1
22/03/2025,MJ Sticker Medium,2,USTORE,0,1
22/03/2025,New Tiger Plushie Big @850,1,USTORE,0,1
22/03/2025,Notelet,5,USTORE,0,1
22/03/2025,Shabby Hat,1,USTORE,0,1
22/03/2025,Tote (One For UST),1,USTORE,0,1
22/03/2025,Umb (One For UST),1,USTORE,0,1
25/03/2025,New Polo Shirt (EMBROIDED),1,BLAZE,0,1
25/03/2025,Polo Shirt @800,1,BLAZE,0,1
25/03/2025,UST College ID Lace,1,JUC,0,1
25/03/2025,UST OAT Hoodie Jacket,1,JUC,0,1
25/03/2025,UST OAT MUG (Y/B inside),4,JUC,0,1
25/03/2025,UST OAT T-Shirt Y/B/COLLEGE,7,JUC,0,1
25/03/2025,UST Sweatshirt Sporty,3,JUC,0,1
25/03/2025,UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY,9,JUC,0,1
25/03/2025,UST T-Shirt Sporty,6,JUC,0,1
25/03/2025,Cotton Black Jacket,2,JYL ATHLETICA,0,1
25/03/2025,Cotton Gray Jacket,1,JYL ATHLETICA,0,1
25/03/2025,DRI-FIT NEW,2,JYL ATHLETICA,0,1
25/03/2025,Jacket,1,JYL ATHLETICA,0,1
25/03/2025,Poloshirt @800,1,JYL ATHLETICA,0,1
25/03/2025,Quiana Black Subli Shirt,1,JYL ATHLETICA,1,0.5
25/03/2025,Quiana Yelloow Subli Shirt,2,JYL ATHLETICA,1,0.5
25/03/2025,Keychain @180,5,TET AND DARS,0,1
25/03/2025,Aquaflask,1,USTORE,0,1
25/03/2025,C. Keychain,2,USTORE,0,1
25/03/2025,Kit Set,11,USTORE,0,1
25/03/2025,Lanyard @180,8,USTORE,0,1
25/03/2025,MJ Sticker Large,3,USTORE,0,1
25/03/2025,MJ Sticker Medium,6,USTORE,0,1
25/03/2025,MJ Sticker Small,4,USTORE,0,1
25/03/2025,New Tiger Plushie Big @850,2,USTORE,0,1
25/03/2025,New Tiger Plushie Small @750,3,USTORE,0,1
25/03/2025,Notelet,170,USTORE,0,1
25/03/2025,Pencil,172,USTORE,0,1
25/03/2025,Tote (One For UST),1,USTORE,0,1
25/03/2025,Tote (Viva),2,USTORE,0,1
25/03/2025,Tote Bag Canvas White,74,USTORE,0,1
25/03/2025,Umb (One For UST),2,USTORE,0,1
26/03/2025,ABSC College Shirt (60th),4,ARTS AND LETTERS (SHIRT HAPPENS),0,1
26/03/2025,New Polo Shirt (EMBROIDED),3,BLAZE,0,1
26/03/2025,Polo Shirt @800,1,BLAZE,0,1
26/03/2025,UST College ID Lace,4,JUC,0,1
26/03/2025,UST OAT Hoodie Jacket,1,JUC,0,1
26/03/2025,UST OAT MUG (Y/B inside),2,JUC,0,1
26/03/2025,UST OAT T-Shirt Y/B/COLLEGE,4,JUC,0,1
26/03/2025,UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY,3,JUC,0,1
26/03/2025,UST T-Shirt Sporty,10,JUC,0,1
26/03/2025,UST T-Shirt Sporty UPSIZE (3XL-5XL),1,JUC,0,1
26/03/2025,Cotton Black Jacket,1,JYL ATHLETICA,0,1
26/03/2025,Cotton Gray Jacket,1,JYL ATHLETICA,0,1
26/03/2025,Jacket,2,JYL ATHLETICA,0,1
26/03/2025,Poloshirt 123456 @860,1,JYL ATHLETICA,0,1
26/03/2025,Quiana Yelloow Subli Shirt,1,JYL ATHLETICA,1,0.5
26/03/2025,UST-Pen W/Box,4,NEW TRENDS,0,1
26/03/2025,Aquaflask,1,USTORE,0,1
26/03/2025,C. Sticker @120,2,USTORE,0,1
26/03/2025,Lanyard @180,10,USTORE,0,1
26/03/2025,Lanyard @190,1,USTORE,0,1
26/03/2025,MJ Sticker Large,1,USTORE,0,1
26/03/2025,MJ Sticker Medium,3,USTORE,0,1
26/03/2025,MJ Sticker Small,2,USTORE,0,1
26/03/2025,Notelet,10,USTORE,0,1
26/03/2025,Tote Bag Canvas White,1,USTORE,0,1
26/03/2025,Umb (One For UST),2,USTORE,0,1
26/03/2025,Utensil,10,USTORE,0,1
27/03/2025,New Polo Shirt (EMBROIDED),2,BLAZE,0,1
27/03/2025,UST College ID Lace,2,JUC,0,1
27/03/2025,UST OAT Hoodie Jacket,1,JUC,0,1
27/03/2025,UST OAT MUG (W inside),3,JUC,0,1
27/03/2025,UST OAT MUG (Y/B inside),1,JUC,0,1
27/03/2025,UST OAT T-Shirt Y/B/COLLEGE,8,JUC,0,1
27/03/2025,UST Sweatshirt Sporty,1,JUC,0,1
27/03/2025,UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY,4,JUC,0,1
27/03/2025,UST T-Shirt Sporty,3,JUC,0,1
27/03/2025,DRI-FIT NEW,2,JYL ATHLETICA,0,1
27/03/2025,Quiana Yelloow Subli Shirt,1,JYL ATHLETICA,1,0.5
27/03/2025,Hoodies Breaker,1,NAPOLIZ ENTERPRISES,0,1
27/03/2025,Keychain @180,3,TET AND DARS,0,1
27/03/2025,Aquaflask,1,USTORE,0,1
27/03/2025,C. Keychain,1,USTORE,0,1
27/03/2025,Clappers,200,USTORE,0,1
27/03/2025,ID Case,2,USTORE,0,1
27/03/2025,Lanyard @180,5,USTORE,0,1
27/03/2025,Lanyard @190,2,USTORE,0,1
27/03/2025,MJ Sticker Large,1,USTORE,0,1
27/03/2025,MJ Sticker Medium,2,USTORE,0,1
27/03/2025,MJ Sticker Small,3,USTORE,0,1
27/03/2025,New Tiger Plushie Small @750,2,USTORE,0,1
27/03/2025,Notelet,3,USTORE,0,1
27/03/2025,Umb (One For UST),1,USTORE,0,1
27/03/2025,New GT Shirts,1,VARSITY LIFESTYLE,0,1
28/03/2025,IPEA Shirt,1,ARTS AND LETTERS (SHIRT HAPPENS),0,1
28/03/2025,New Polo Shirt (EMBROIDED),2,BLAZE,0,1
28/03/2025,Shirts all @450 UPSIZE (3XL-5XL),1,JUC,0,1
28/03/2025,UST OAT Hoodie Jacket,1,JUC,0,1
28/03/2025,UST OAT MUG (W inside),6,JUC,0,1
28/03/2025,UST OAT MUG (Y/B inside),10,JUC,0,1
28/03/2025,UST OAT T-Shirt Y/B/COLLEGE,11,JUC,0,1
28/03/2025,UST Sweatshirt Sporty,2,JUC,0,1
28/03/2025,UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY,14,JUC,0,1
28/03/2025,UST T-Shirt Sporty,9,JUC,0,1
28/03/2025,UST T-Shirt Sporty UPSIZE (3XL-5XL),1,JUC,0,1
28/03/2025,Corp Jacket v.3,1,JYL ATHLETICA,1,0.5
28/03/2025,Cotton Black Jacket,1,JYL ATHLETICA,0,1
28/03/2025,Cotton Gray Jacket,1,JYL ATHLETICA,0,1
28/03/2025,DRI-FIT NEW,6,JYL ATHLETICA,0,1
28/03/2025,Poloshirt @800,9,JYL ATHLETICA,0,1
28/03/2025,Quiana Black Subli Shirt,3,JYL ATHLETICA,1,0.5
28/03/2025,Quiana Yelloow Subli Shirt,4,JYL ATHLETICA,1,0.5
28/03/2025,Hoodies Breaker,4,NAPOLIZ ENTERPRISES,0,1
28/03/2025,UST-Pen W/Box,6,NEW TRENDS,0,1
28/03/2025,Keychain @180,1,TET AND DARS,0,1
28/03/2025,Sticker @120,1,TET AND DARS,0,1
28/03/2025,Aquaflask,1,USTORE,0,1
28/03/2025,C. Keychain,1,USTORE,0,1
28/03/2025,Clappers,5,USTORE,0,1
28/03/2025,Lanyard @180,15,USTORE,0,1
28/03/2025,Lanyard @190,4,USTORE,0,1
28/03/2025,MJ Sticker Large,1,USTORE,0,1
28/03/2025,MJ Sticker Medium,6,USTORE,0,1
28/03/2025,MJ Sticker Small,3,USTORE,0,1
28/03/2025,New Tiger Plushie Big @850,1,USTORE,0,1
28/03/2025,Shabby Hat,2,USTORE,0,1
28/03/2025,Thick Lanyard,1,USTORE,0,1
28/03/2025,Tote (Viva),2,USTORE,0,1
28/03/2025,Umb (One For UST),1,USTORE,0,1
28/03/2025,Scarves,1,VARSITY LIFESTYLE,0,1
29/03/2025,Polo Shirt @800,1,BLAZE,0,1
29/03/2025,UST College ID Lace,1,JUC,0,1
29/03/2025,UST OAT MUG (W inside),5,JUC,0,1
29/03/2025,UST OAT T-Shirt Y/B/COLLEGE,2,JUC,0,1
29/03/2025,UST Sweatshirt Sporty,1,JUC,0,1
29/03/2025,UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY,5,JUC,0,1
29/03/2025,UST T-Shirt Sporty,1,JUC,0,1
29/03/2025,BASE BALL SHIRT,1,JYL ATHLETICA,0,1
29/03/2025,DRI-FIT NEW,1,JYL ATHLETICA,0,1
29/03/2025,Poloshirt @800,1,JYL ATHLETICA,0,1
29/03/2025,Quiana Yelloow Subli Shirt,1,JYL ATHLETICA,1,0.5
29/03/2025,Black Double Canopy Umbrella,1,NAPOLIZ ENTERPRISES,1,0.5
29/03/2025,ID Case,3,USTORE,0,1
29/03/2025,Lanyard @180,5,USTORE,0,1
29/03/2025,MJ Sticker Large,2,USTORE,0,1
29/03/2025,MJ Sticker Small,5,USTORE,0,1
29/03/2025,Shabby Hat,1,USTORE,0,1
29/03/2025,Umb (One For UST),3,USTORE,0,1
31/03/2025,ABSC College Shirt (60th),2,ARTS AND LETTERS (SHIRT HAPPENS),0,1
31/03/2025,New Polo Shirt (EMBROIDED),6,BLAZE,0,1
31/03/2025,Polo Shirt @800,1,BLAZE,0,1
31/03/2025,UST College ID Lace,7,JUC,0,1
31/03/2025,UST OAT Hoodie Jacket,2,JUC,0,1
31/03/2025,UST OAT MUG (W inside),4,JUC,0,1
31/03/2025,UST OAT T-Shirt Y/B/COLLEGE,7,JUC,0,1
31/03/2025,UST Sweatshirt Sporty,6,JUC,0,1
31/03/2025,UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY,14,JUC,0,1
31/03/2025,UST T-Shirt Sporty,5,JUC,0,1
31/03/2025,BASE BALL SHIRT,1,JYL ATHLETICA,0,1
31/03/2025,DRI-FIT NEW,2,JYL ATHLETICA,0,1
31/03/2025,Poloshirt 123456 @860,1,JYL ATHLETICA,0,1
31/03/2025,Poloshirt @800,5,JYL ATHLETICA,0,1
31/03/2025,Quiana Black Subli Shirt,2,JYL ATHLETICA,1,0.5
31/03/2025,Quiana Yelloow Subli Shirt,3,JYL ATHLETICA,1,0.5
31/03/2025,Eco Bag @80,4,TET AND DARS,0,1
31/03/2025,Keychain @180,1,TET AND DARS,0,1
31/03/2025,Sticker @120,2,TET AND DARS,0,1
31/03/2025,Aquaflask,3,USTORE,0,1
31/03/2025,C. Keychain,3,USTORE,0,1
31/03/2025,ID Case,3,USTORE,0,1
31/03/2025,Lanyard @180,25,USTORE,0,1
31/03/2025,Lanyard @190,2,USTORE,0,1
31/03/2025,MJ Sticker Large,2,USTORE,0,1
31/03/2025,MJ Sticker Medium,5,USTORE,0,1
31/03/2025,MJ Sticker Small,4,USTORE,0,1
31/03/2025,New Tiger Plushie Big @850,2,USTORE,0,1
31/03/2025,New Tiger Plushie Small @750,3,USTORE,0,1
31/03/2025,Thick Lanyard,6,USTORE,0,1
31/03/2025,Tote Bag Canvas White,4,USTORE,0,1
31/03/2025,Utensil,2,USTORE,0,1
31/03/2025,New GT Shirts,1,VARSITY LIFESTYLE,0,1
31/03/2025,Scarves,1,VARSITY LIFESTYLE,0,1
02/04/2025,ABSC College Shirt (60th),1,ARTS AND LETTERS (SHIRT HAPPENS),0,1
02/04/2025,Polo Shirt @800,1,BLAZE,0,1
02/04/2025,White Embro,2,BLAZE,0,1
02/04/2025,Bomber Jacket,2,JUC,0,1
02/04/2025,Shirts all @450 UPSIZE (3XL-5XL),2,JUC,0,1
02/04/2025,UST OAT MUG (W inside),2,JUC,0,1
02/04/2025,UST OAT MUG (Y/B inside),42,JUC,0,1
02/04/2025,UST OAT T-Shirt Y/B/COLLEGE,9,JUC,0,1
02/04/2025,UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY,10,JUC,0,1
02/04/2025,BASE BALL SHIRT,1,JYL ATHLETICA,0,1
02/04/2025,DRI-FIT NEW,3,JYL ATHLETICA,0,1
02/04/2025,Poloshirt @800,3,JYL ATHLETICA,0,1
02/04/2025,Quiana Black Subli Shirt,1,JYL ATHLETICA,1,0.5
02/04/2025,Quiana Yelloow Subli Shirt,1,JYL ATHLETICA,1,0.5
02/04/2025,Windbreaker,1,JYL ATHLETICA,1,0.5
02/04/2025,Eco Bag @80,4,TET AND DARS,0,1
02/04/2025,Sticker @120,1,TET AND DARS,0,1
02/04/2025,Aquaflask,3,USTORE,0,1
02/04/2025,C. Keychain,2,USTORE,0,1
02/04/2025,ID Case,1,USTORE,0,1
02/04/2025,Lanyard @180,9,USTORE,0,1
02/04/2025,Lanyard @190,4,USTORE,0,1
02/04/2025,MJ Sticker Large,4,USTORE,0,1
02/04/2025,MJ Sticker Medium,3,USTORE,0,1
02/04/2025,MJ Sticker Small,7,USTORE,0,1
02/04/2025,New Tiger Plushie Big @850,11,USTORE,0,1
02/04/2025,New Tiger Plushie Small @750,2,USTORE,0,1
02/04/2025,Shabby Hat,1,USTORE,0,1
02/04/2025,Tote (Viva),3,USTORE,0,1
02/04/2025,Tote Bag Canvas White,1,USTORE,0,1
02/04/2025,Umb (One For UST),42,USTORE,0,1
03/04/2025,IPEA Shirt,1,ARTS AND LETTERS (SHIRT HAPPENS),0,1
03/04/2025,UST College ID Lace,4,JUC,0,1
03/04/2025,UST OAT Hoodie Jacket,1,JUC,0,1
03/04/2025,UST OAT MUG (Y/B inside),9,JUC,0,1
03/04/2025,UST OAT T-Shirt Y/B/COLLEGE,5,JUC,0,1
03/04/2025,UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY,21,JUC,0,1
03/04/2025,BASE BALL SHIRT,1,JYL ATHLETICA,0,1
03/04/2025,Cotton Black Jacket,2,JYL ATHLETICA,0,1
03/04/2025,Jacket,7,JYL ATHLETICA,0,1
03/04/2025,Poloshirt @800,2,JYL ATHLETICA,0,1
03/04/2025,Quiana Black Subli Shirt,1,JYL ATHLETICA,1,0.5
03/04/2025,Quiana Yelloow Subli Shirt,2,JYL ATHLETICA,1,0.5
03/04/2025,Hoodies Breaker,3,NAPOLIZ ENTERPRISES,0,1
03/04/2025,UST-Pen W/Box,8,NEW TRENDS,0,1
03/04/2025,Eco Bag @80,1,TET AND DARS,0,1
03/04/2025,Sticker @120,1,TET AND DARS,0,1
03/04/2025,C. Keychain,1,USTORE,0,1
03/04/2025,ID Case,2,USTORE,0,1
03/04/2025,Kit Set,1,USTORE,0,1
03/04/2025,Lanyard @180,9,USTORE,0,1
03/04/2025,Lanyard @190,1,USTORE,0,1
03/04/2025,MJ Sticker Large,2,USTORE,0,1
03/04/2025,MJ Sticker Medium,3,USTORE,0,1
03/04/2025,New Tiger Plushie Big @850,1,USTORE,0,1
03/04/2025,New Tiger Plushie Small @750,9,USTORE,0,1
03/04/2025,Shabby Hat,7,USTORE,0,1
03/04/2025,Thick Lanyard,8,USTORE,0,1
03/04/2025,Tote (Viva),2,USTORE,0,1
03/04/2025,Tote Bag Canvas White,1,USTORE,0,1
03/04/2025,Umb (One For UST),2,USTORE,0,1
04/04/2025,IPEA Shirt,1,ARTS AND LETTERS (SHIRT HAPPENS),0,1
04/04/2025,Polo Shirt @800,1,BLAZE,0,1
04/04/2025,Shirts all @450 UPSIZE (3XL-5XL),1,JUC,0,1
04/04/2025,UST College ID Lace,1,JUC,0,1
04/04/2025,UST OAT MUG (Y/B inside),3,JUC,0,1
04/04/2025,UST OAT T-Shirt Y/B/COLLEGE,3,JUC,0,1
04/04/2025,UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY,8,JUC,0,1
04/04/2025,UST T-Shirt Sporty,4,JUC,0,1
04/04/2025,UST T-Shirt Sporty UPSIZE (3XL-5XL),1,JUC,0,1
04/04/2025,Corp Jacket v.3,1,JYL ATHLETICA,1,0.5
04/04/2025,Cotton Black Jacket,1,JYL ATHLETICA,0,1
04/04/2025,DRI-FIT NEW,1,JYL ATHLETICA,0,1
04/04/2025,Jacket,9,JYL ATHLETICA,0,1
04/04/2025,Quiana Black Subli Shirt,1,JYL ATHLETICA,1,0.5
04/04/2025,Quiana Yelloow Subli Shirt,2,JYL ATHLETICA,1,0.5
04/04/2025,Windbreaker,1,JYL ATHLETICA,1,0.5
04/04/2025,Hoodies Breaker,1,NAPOLIZ ENTERPRISES,0,1
04/04/2025,Sticker @120,3,TET AND DARS,0,1
04/04/2025,Aquaflask,3,USTORE,0,1
04/04/2025,Bookmark,1,USTORE,0,1
04/04/2025,ID Case,7,USTORE,0,1
04/04/2025,Lanyard @180,11,USTORE,0,1
04/04/2025,Lanyard @190,2,USTORE,0,1
04/04/2025,MJ Sticker Large,2,USTORE,0,1
04/04/2025,MJ Sticker Medium,7,USTORE,0,1
04/04/2025,MJ Sticker Small,7,USTORE,0,1
04/04/2025,Thick Lanyard,3,USTORE,0,1
04/04/2025,Tote (One For UST),1,USTORE,0,1
04/04/2025,Tote (Viva),5,USTORE,0,1
04/04/2025,Umb (One For UST),2,USTORE,0,1
04/04/2025,Hoodie,1,VARSITY LIFESTYLE,0,1
05/04/2025,UST College ID Lace,1,JUC,0,1
05/04/2025,UST OAT Hoodie Jacket,1,JUC,0,1
05/04/2025,UST OAT T-Shirt Y/B/COLLEGE,6,JUC,0,1
05/04/2025,UST T-Shirt Sporty,1,JUC,0,1
05/04/2025,DRI-FIT NEW,1,JYL ATHLETICA,0,1
05/04/2025,Quiana Yelloow Subli Shirt,1,JYL ATHLETICA,1,0.5
05/04/2025,Hoodies Breaker,1,NAPOLIZ ENTERPRISES,0,1
05/04/2025,Eco Bag @80,2,TET AND DARS,0,1
05/04/2025,C. Keychain,1,USTORE,0,1
05/04/2025,Clappers,4,USTORE,0,1
05/04/2025,ID Case,1,USTORE,0,1
05/04/2025,Lanyard @180,3,USTORE,0,1
05/04/2025,MJ Sticker Large,5,USTORE,0,1
05/04/2025,MJ Sticker Medium,4,USTORE,0,1
05/04/2025,MJ Sticker Small,3,USTORE,0,1
05/04/2025,New Tiger Plushie Small @750,2,USTORE,0,1
05/04/2025,Thick Lanyard,2,USTORE,0,1
05/04/2025,Tote (One For UST),1,USTORE,0,1
07/04/2025,IPEA Shirt,1,ARTS AND LETTERS (SHIRT HAPPENS),0,1
07/04/2025,Polo Shirt @800,2,BLAZE,0,1
07/04/2025,UST College ID Lace,6,JUC,0,1
07/04/2025,UST OAT T-Shirt Y/B/COLLEGE,4,JUC,0,1
07/04/2025,UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY,12,JUC,0,1
07/04/2025,UST T-Shirt Sporty,3,JUC,0,1
07/04/2025,BASE BALL SHIRT,3,JYL ATHLETICA,0,1
07/04/2025,DRI-FIT NEW,3,JYL ATHLETICA,0,1
07/04/2025,Poloshirt @800,1,JYL ATHLETICA,0,1
07/04/2025,Hoodies Breaker,4,NAPOLIZ ENTERPRISES,0,1
07/04/2025,Eco Bag @80,2,TET AND DARS,0,1
07/04/2025,Sticker @120,1,TET AND DARS,0,1
07/04/2025,C. Keychain,2,USTORE,0,1
07/04/2025,ID Case,3,USTORE,0,1
07/04/2025,Lanyard @180,11,USTORE,0,1
07/04/2025,Lanyard @190,4,USTORE,0,1
07/04/2025,MJ Sticker Large,4,USTORE,0,1
07/04/2025,MJ Sticker Medium,1,USTORE,0,1
07/04/2025,MJ Sticker Small,5,USTORE,0,1
07/04/2025,New Tiger Plushie Big @850,1,USTORE,0,1
07/04/2025,Notelet,3,USTORE,0,1
07/04/2025,Thick Lanyard,3,USTORE,0,1
07/04/2025,Tote (Viva),5,USTORE,0,1
07/04/2025,Umb (One For UST),3,USTORE,0,1
08/04/2025,White Embro,2,BLAZE,0,1
08/04/2025,UST College ID Lace,2,JUC,0,1
08/04/2025,UST OAT Hoodie Jacket,1,JUC,0,1
08/04/2025,UST OAT T-Shirt Y/B/COLLEGE,9,JUC,0,1
08/04/2025,UST Sweatshirt Sporty,1,JUC,0,1
08/04/2025,UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY,9,JUC,0,1
08/04/2025,UST T-Shirt Sporty,2,JUC,0,1
08/04/2025,Cotton Gray Jacket,1,JYL ATHLETICA,0,1
08/04/2025,Jacket,1,JYL ATHLETICA,0,1
08/04/2025,Quiana Black Subli Shirt,1,JYL ATHLETICA,1,0.5
08/04/2025,Quiana Yelloow Subli Shirt,1,JYL ATHLETICA,1,0.5
08/04/2025,Hoodies Breaker,6,NAPOLIZ ENTERPRISES,0,1
08/04/2025,Eco Bag @80,5,TET AND DARS,0,1
08/04/2025,Keychain @180,1,TET AND DARS,0,1
08/04/2025,Sticker @120,1,TET AND DARS,0,1
08/04/2025,C. Keychain,1,USTORE,0,1
08/04/2025,ID Case,1,USTORE,0,1
08/04/2025,Kit Set,3,USTORE,0,1
08/04/2025,Lanyard @180,4,USTORE,0,1
08/04/2025,Lanyard @190,3,USTORE,0,1
08/04/2025,MJ Sticker Large,1,USTORE,0,1
08/04/2025,MJ Sticker Medium,2,USTORE,0,1
08/04/2025,MJ Sticker Small,3,USTORE,0,1
08/04/2025,New Tiger Plushie Big @850,1,USTORE,0,1
08/04/2025,Tote (One For UST),1,USTORE,0,1
08/04/2025,Umb (One For UST),1,USTORE,0,1
08/04/2025,New GT Shirts,2,VARSITY LIFESTYLE,0,1
10/04/2025,Shirts all @450 UPSIZE (3XL-5XL),2,JUC,0,1
10/04/2025,UST College ID Lace,2,JUC,0,1
10/04/2025,UST OAT Hoodie Jacket,3,JUC,0,1
10/04/2025,UST OAT T-Shirt Y/B/COLLEGE,5,JUC,0,1
10/04/2025,UST Sweatshirt Sporty,3,JUC,0,1
10/04/2025,UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY,17,JUC,0,1
10/04/2025,UST T-Shirt Sporty,2,JUC,0,1
10/04/2025,Corp Jacket v.3,1,JYL ATHLETICA,1,0.5
10/04/2025,Cotton Black Jacket,1,JYL ATHLETICA,0,1
10/04/2025,DRI-FIT NEW,2,JYL ATHLETICA,0,1
10/04/2025,Poloshirt @800,4,JYL ATHLETICA,0,1
10/04/2025,Hoodies Breaker,1,NAPOLIZ ENTERPRISES,0,1
10/04/2025,Aquaflask,6,USTORE,0,1
10/04/2025,C. Keychain,1,USTORE,0,1
10/04/2025,ID Case,8,USTORE,0,1
10/04/2025,Kit Set,2,USTORE,0,1
10/04/2025,Lanyard @180,10,USTORE,0,1
10/04/2025,Lanyard @190,3,USTORE,0,1
10/04/2025,MJ Sticker Medium,3,USTORE,0,1
10/04/2025,Thick Lanyard,1,USTORE,0,1
10/04/2025,Tote (One For UST),12,USTORE,0,1
10/04/2025,Tote (Viva),14,USTORE,0,1
10/04/2025,Umb (One For UST),1,USTORE,0,1
10/04/2025,Hoodie,1,VARSITY LIFESTYLE,0,1
11/04/2025,ABSC College Shirt (60th),1,ARTS AND LETTERS (SHIRT HAPPENS),0,1
