Date,Item,Total Quantity,Supplier,imputation_flag,weight
07/05/2024,Black Lanyard,3,USTORE,1,0.5
07/05/2024,New Keychain,6,USTORE,1,0.5
07/05/2024,Old Umbrella,41,USTORE,0,1
07/05/2024,Sash Small,26,USTORE,0,1
07/05/2024,Shabby Hat,1,USTORE,0,1
07/05/2024,Tiger Stuff Toy Small Grad,2,USTORE,0,1
07/05/2024,Tote (One For UST),4,USTORE,0,1
07/05/2024,Tote Bag Canvas White,1,USTORE,0,1
07/05/2024,Umb (One For UST),2,USTORE,0,1
07/05/2024,Black Lanyard,1,VARSITY LIFE STYLE,1,0.5
07/05/2024,Caps,1,VARSITY LIFE STYLE,0,1
08/05/2024,3 Color Polo Shirt,1,BLAZE,1,0.5
08/05/2024,Subli. Shirt,8,CENTRAL SEMINARY,0,1
08/05/2024,Black Happy Tiger,6,JUC,1,0.5
08/05/2024,UST OAT MUG (WE) Inside,1,JUC,0,1
08/05/2024,UST OAT T-Shirt,2,JUC,0,1
08/05/2024,UST T-Shirt Sports,17,JUC,0,1
08/05/2024,UST T-Shirt Tiger Pattern,14,JUC,0,1
08/05/2024,White Oat Mug,1,JUC,1,0.5
08/05/2024,Yellow Happy Tiger,5,JUC,1,0.5
08/05/2024,Yellow Oat Mug,1,JUC,1,0.5
08/05/2024,Jacket,1,JYL,0,1
08/05/2024,Script Santo Tomas with Tiger Back (B),2,NAPOLIZ,0,1
08/05/2024,Side Tiger Hoodie,1,NAPOLIZ,0,1
08/05/2024,University of Santo Tomas (B),15,NAPOLIZ,0,1
08/05/2024,UST Tiger Front and Back Graphic (W),1,NAPOLIZ,0,1
08/05/2024,Wind Breaker,6,NAPOLIZ,0,1
08/05/2024,Arch,3,TET AND DARS,0,1
08/05/2024,Eco Bag,2,TET AND DARS,0,1
08/05/2024,Sticker,2,TET AND DARS,0,1
08/05/2024,Black Lanyard,8,USTORE,1,0.5
08/05/2024,Generic Lanyard,1,USTORE,1,0.5
08/05/2024,New Keychain,10,USTORE,1,0.5
08/05/2024,Tiger Stuff Toy Small Grad,3,USTORE,0,1
08/05/2024,Tote (One For UST),1,USTORE,0,1
08/05/2024,Tote Bag Canvas White,1,USTORE,0,1
08/05/2024,Umb (One For UST),3,USTORE,0,1
08/05/2024,Varsity Lanyard,1,USTORE,1,0.5
08/05/2024,Baller,5,VARSITY LIFE STYLE,0,1
08/05/2024,Black Lanyard,3,VARSITY LIFE STYLE,1,0.5
09/05/2024,3 Color Polo Shirt,1,BLAZE,1,0.5
09/05/2024,Subli. Shirt,5,CENTRAL SEMINARY,0,1
09/05/2024,Black Happy Tiger,8,JUC,1,0.5
09/05/2024,UST OAT Hoodie Jacket,2,JUC,0,1
09/05/2024,UST OAT MUG (WE) Inside,1,JUC,0,1
09/05/2024,UST T-Shirt Sports,16,JUC,0,1
09/05/2024,UST T-Shirt Tiger Pattern,12,JUC,0,1
09/05/2024,White Oat Mug,1,JUC,1,0.5
09/05/2024,Yellow Happy Tiger,7,JUC,1,0.5
09/05/2024,Yellow Oat Mug,1,JUC,1,0.5
09/05/2024,Jacket,4,JYL,0,1
09/05/2024,Poloshirt 123456,1,JYL,0,1
09/05/2024,VB Jersey w/o sig.,2,JYL,0,1
09/05/2024,Front Tiger Hoodie,1,NAPOLIZ,0,1
09/05/2024,Script Santo Tomas with Tiger Back (B),4,NAPOLIZ,0,1
09/05/2024,University of Santo Tomas (B),6,NAPOLIZ,0,1
09/05/2024,UST Tiger Front and Back Graphic (W),7,NAPOLIZ,0,1
09/05/2024,Wind Breaker,1,NAPOLIZ,0,1
09/05/2024,Black Lanyard,5,USTORE,1,0.5
09/05/2024,Eco Bag CGEEE!,2,USTORE,0,1
09/05/2024,NB,2,USTORE,0,1
09/05/2024,New Keychain,13,USTORE,1,0.5
09/05/2024,Sash Small,1,USTORE,0,1
09/05/2024,Shabby Hat,1,USTORE,0,1
09/05/2024,Tiger Stuff Toy Small Grad,9,USTORE,0,1
09/05/2024,Tote (One For UST),2,USTORE,0,1
09/05/2024,Tote Bag Canvas White,2,USTORE,0,1
09/05/2024,Umb (One For UST),3,USTORE,0,1
09/05/2024,Varsity Lanyard,1,USTORE,1,0.5
09/05/2024,Baller,1,VARSITY LIFE STYLE,0,1
09/05/2024,Black Lanyard,4,VARSITY LIFE STYLE,1,0.5
09/05/2024,New Keychain,4,VARSITY LIFE STYLE,1,0.5
09/05/2024,Oversized Sweatshirt,1,VARSITY LIFE STYLE,0,1
09/05/2024,Shirts,3,VARSITY LIFE STYLE,0,1
10/05/2024,3 Color Polo Shirt,1,BLAZE,1,0.5
10/05/2024,Subli. Shirt,5,CENTRAL SEMINARY,0,1
10/05/2024,Black Happy Tiger,7,JUC,1,0.5
10/05/2024,UST OAT MUG (WE) Inside,2,JUC,0,1
10/05/2024,UST OAT T-Shirt,3,JUC,0,1
10/05/2024,UST T-Shirt Sports,28,JUC,0,1
10/05/2024,UST T-Shirt Tiger Pattern,12,JUC,0,1
10/05/2024,White Oat Mug,5,JUC,1,0.5
10/05/2024,Yellow Happy Tiger,6,JUC,1,0.5
10/05/2024,Yellow Oat Mug,5,JUC,1,0.5
10/05/2024,Jacket,5,JYL,0,1
10/05/2024,Poloshirt 123456,4,JYL,0,1
10/05/2024,VB Jersey w/o sig.,3,JYL,0,1
10/05/2024,Script Santo Tomas with Tiger Back (B),3,NAPOLIZ,0,1
10/05/2024,University of Santo Tomas (B),24,NAPOLIZ,0,1
10/05/2024,UST Tiger Front and Back Graphic (W),8,NAPOLIZ,0,1
10/05/2024,Wind Breaker,7,NAPOLIZ,0,1
10/05/2024,Sticker,5,TET AND DARS,0,1
10/05/2024,Black Lanyard,5,USTORE,1,0.5
10/05/2024,New Keychain,5,USTORE,1,0.5
10/05/2024,Shabby Hat,1,USTORE,0,1
10/05/2024,Tiger Stuff Toy Small Grad,1,USTORE,0,1
10/05/2024,Tote (One For UST),3,USTORE,0,1
10/05/2024,Tote Bag Canvas White,2,USTORE,0,1
10/05/2024,Tumbler,6,USTORE,0,1
10/05/2024,Umb (One For UST),4,USTORE,0,1
10/05/2024,Varsity Lanyard,1,USTORE,1,0.5
10/05/2024,Baller,2,VARSITY LIFE STYLE,0,1
10/05/2024,Caps,1,VARSITY LIFE STYLE,0,1
10/05/2024,Scarves,1,VARSITY LIFE STYLE,0,1
10/05/2024,Shirts,11,VARSITY LIFE STYLE,0,1
10/05/2024,Sticker Pack,1,VARSITY LIFE STYLE,0,1
10/05/2024,UST Long Sticker,1,VARSITY LIFE STYLE,1,0.5
13/05/2024,3 Color Polo Shirt,1,BLAZE,1,0.5
13/05/2024,Subli. Shirt,1,CENTRAL SEMINARY,0,1
13/05/2024,Black Happy Tiger,1,JUC,1,0.5
13/05/2024,UST OAT Hoodie Jacket,1,JUC,0,1
13/05/2024,UST T-Shirt Sports,12,JUC,0,1
13/05/2024,UST T-Shirt Tiger Pattern,8,JUC,0,1
13/05/2024,White Oat Mug,3,JUC,1,0.5
13/05/2024,Yellow Happy Tiger,1,JUC,1,0.5
13/05/2024,Yellow Oat Mug,2,JUC,1,0.5
13/05/2024,Jacket,1,JYL,0,1
13/05/2024,VB Jersey w/o sig.,1,JYL,0,1
13/05/2024,University of Santo Tomas (B),7,NAPOLIZ,0,1
13/05/2024,UST Tiger Front and Back Graphic (W),2,NAPOLIZ,0,1
13/05/2024,Wind Breaker,6,NAPOLIZ,0,1
13/05/2024,Arch,2,TET AND DARS,0,1
13/05/2024,Eco Bag,1,TET AND DARS,0,1
13/05/2024,Sticker,1,TET AND DARS,0,1
13/05/2024,Black Lanyard,4,USTORE,1,0.5
13/05/2024,Eco Bag CGEEE!,1,USTORE,0,1
13/05/2024,New Keychain,6,USTORE,1,0.5
13/05/2024,Sash Big,1,USTORE,0,1
13/05/2024,Sash Small,2,USTORE,0,1
13/05/2024,Shabby Hat,1,USTORE,0,1
13/05/2024,Tiger Stuff Toy Small Grad,7,USTORE,0,1
13/05/2024,Tote (One For UST),1,USTORE,0,1
13/05/2024,Tote Bag Canvas White,2,USTORE,0,1
13/05/2024,Umb (One For UST),2,USTORE,0,1
13/05/2024,Baller,1,VARSITY LIFE STYLE,0,1
13/05/2024,Black Lanyard,1,VARSITY LIFE STYLE,1,0.5
13/05/2024,Caps,1,VARSITY LIFE STYLE,0,1
13/05/2024,Scarves,1,VARSITY LIFE STYLE,0,1
13/05/2024,Shirts,1,VARSITY LIFE STYLE,0,1
14/05/2024,Subli. Shirt,7,CENTRAL SEMINARY,0,1
14/05/2024,Black Happy Tiger,12,JUC,1,0.5
14/05/2024,UST OAT Hoodie Jacket,2,JUC,0,1
14/05/2024,UST T-Shirt Sports,23,JUC,0,1
14/05/2024,UST T-Shirt Tiger Pattern,11,JUC,0,1
14/05/2024,Yellow Happy Tiger,12,JUC,1,0.5
14/05/2024,GT Shirt,1,JYL,0,1
14/05/2024,Jacket,2,JYL,0,1
14/05/2024,Pure Black Laptop Bag,1,NAPOLIZ,1,0.5
14/05/2024,Script Santo Tomas with Tiger Back (B),1,NAPOLIZ,0,1
14/05/2024,University of Santo Tomas (B),12,NAPOLIZ,0,1
14/05/2024,UST Tiger Front and Back Graphic (W),1,NAPOLIZ,0,1
14/05/2024,Wind Breaker,1,NAPOLIZ,0,1
14/05/2024,Sticker,6,TET AND DARS,0,1
14/05/2024,Black Lanyard,7,USTORE,1,0.5
14/05/2024,Eco Bag CGEEE!,2,USTORE,0,1
14/05/2024,New Keychain,5,USTORE,1,0.5
14/05/2024,Sash Small,5,USTORE,0,1
14/05/2024,Shabby Hat,1,USTORE,0,1
14/05/2024,Tiger Stuff Toy Small Grad,3,USTORE,0,1
14/05/2024,Tote (One For UST),2,USTORE,0,1
14/05/2024,Tote Bag Canvas White,1,USTORE,0,1
14/05/2024,Tumbler,4,USTORE,0,1
14/05/2024,Umb (One For UST),2,USTORE,0,1
14/05/2024,Varsity Lanyard,1,USTORE,1,0.5
14/05/2024,Baller,2,VARSITY LIFE STYLE,0,1
14/05/2024,Caps,3,VARSITY LIFE STYLE,0,1
14/05/2024,Scarves,2,VARSITY LIFE STYLE,0,1
14/05/2024,Shirts,2,VARSITY LIFE STYLE,0,1
14/05/2024,Varsity Jacket,3,VARSITY LIFE STYLE,0,1
15/05/2024,3 Color Polo Shirt,2,BLAZE,1,0.5
15/05/2024,Subli. Shirt,2,CENTRAL SEMINARY,0,1
15/05/2024,Black Happy Tiger,11,JUC,1,0.5
15/05/2024,UST OAT Hoodie Jacket,3,JUC,0,1
15/05/2024,UST T-Shirt Sports,14,JUC,0,1
15/05/2024,UST T-Shirt Tiger Pattern,17,JUC,0,1
