Date,Item,Total Quantity,Supplier
2024-05-08,Keychain,10,USTORE
2024-05-08,Lanyard,10,USTORE
2024-05-08,Tiger Stuff Toy Small Grad,3,USTORE
2024-05-08,Tote (One For UST),1,USTORE
2024-05-08,Tote Bag Canvas White,1,USTORE
2024-05-08,Umb (One For UST),3,USTORE
2024-05-08,Baller,5,VARSITY LIFE STYLE
2024-05-08,Lanyard,3,VARSITY LIFE STYLE
2024-05-09,Polo Shirt,1,BLAZE
2024-05-09,Subli. Shirt,5,CENTRAL SEMINARY
2024-05-09,UST Happy Tiger,15,JUC
2024-05-09,UST OAT Hoodie Jacket,2,JUC
2024-05-09,UST OAT MUG,2,JUC
2024-05-09,UST OAT MUG (WE) Inside,1,JUC
2024-05-09,UST T-Shirt Sports,16,JUC
2024-05-09,UST T-Shirt Tiger Pattern,12,JUC
2024-05-09,Jacket,4,JYL
2024-05-09,Poloshirt 123456,1,JYL
2024-05-09,VB Jersey w/o sig.,2,JYL
2024-05-09,Front Tiger Hoodie,1,NAPOLIZ
2024-05-09,Script Santo Tomas with Tiger Back (B),4,NAPOLIZ
2024-05-09,University of Santo Tomas (B),6,NAPOLIZ
2024-05-09,UST Tiger Front and Back Graphic (W),7,NAPOLIZ
2024-05-09,Wind Breaker,1,NAPOLIZ
2024-05-09,Eco Bag CGEEE!,2,USTORE
2024-05-09,Keychain,13,USTORE
2024-05-09,Lanyard,6,USTORE
2024-05-09,NB,2,USTORE
2024-05-09,Sash Small,1,USTORE
2024-05-09,Shabby Hat,1,USTORE
2024-05-09,Tiger Stuff Toy Small Grad,9,USTORE
2024-05-09,Tote (One For UST),2,USTORE
2024-05-09,Tote Bag Canvas White,2,USTORE
2024-05-09,Umb (One For UST),3,USTORE
2024-05-09,Baller,1,VARSITY LIFE STYLE
2024-05-09,Keychain,4,VARSITY LIFE STYLE
2024-05-09,Lanyard,4,VARSITY LIFE STYLE
2024-05-09,Oversized Sweatshirt,1,VARSITY LIFE STYLE
2024-05-09,Shirts,3,VARSITY LIFE STYLE
2024-05-10,Polo Shirt,1,BLAZE
2024-05-10,Subli. Shirt,5,CENTRAL SEMINARY
2024-05-10,UST Happy Tiger,13,JUC
2024-05-10,UST OAT MUG,10,JUC
2024-05-10,UST OAT MUG (WE) Inside,2,JUC
2024-05-10,UST OAT T-Shirt,3,JUC
2024-05-10,UST T-Shirt Sports,28,JUC
2024-05-10,UST T-Shirt Tiger Pattern,12,JUC
2024-05-10,Jacket,5,JYL
2024-05-10,Poloshirt 123456,4,JYL
2024-05-10,VB Jersey w/o sig.,3,JYL
2024-05-10,Script Santo Tomas with Tiger Back (B),3,NAPOLIZ
2024-05-10,University of Santo Tomas (B),24,NAPOLIZ
2024-05-10,UST Tiger Front and Back Graphic (W),8,NAPOLIZ
