Category,Date,No,Item,Size,Location,Classification,Price,Quantity,OPEX,Notes
MAIN STORAGE,09/11/2024,17,Napoliz Hoodie (black/yellow/green inside),Medium,,,1900,5,,ALL SIZES
MAIN STORAGE,09/11/2024,17,Napoliz Hoodie (black/yellow/green inside),Large,,,1900,14,,ARE TAKEN
MAIN STORAGE,09/11/2024,17,Napoliz Hoodie (black/yellow/green inside),XL,,,1900,13,,02/12/2024 0:00
MAIN STORAGE,09/11/2024,18,Napoliz Jacket (black/yellow/green inside,Medium,,,1900,25,,"M- 3pcs. , m - 5 (05-13-25)"
MAIN STORAGE,09/11/2024,18,Napoliz Jacket (black/yellow/green inside,Large,,,1900,10,,ALL LARGE AND XL SIZES ARE TAKEN
MAIN STORAGE,09/11/2024,18,Napoliz Jacket (black/yellow/green inside,XL,,,1900,12,,"12/02/2024, m-3 (03/05)"
MAIN STORAGE,09/11/2024,19,White Hoodie (black tiger head design),XS,,,1200,30,,"medium 5pcs , m-3 (03-05), m-8 (05-13-25)"
MAIN STORAGE,09/11/2024,19,White Hoodie (black tiger head design),Medium,,,1200,17,,large 9pcs. 12/11/2024
MAIN STORAGE,09/11/2024,19,White Hoodie (black tiger head design),Large,,,1200,9,,
MAIN STORAGE,09/11/2024,20,White Baseball Shirt,Medium,,,800,7,,M - 7 L - 10 2XL - 10
MAIN STORAGE,09/11/2024,20,White Baseball Shirt,Large,,,800,28,,02/12/2024 0:00
MAIN STORAGE,09/11/2024,20,White Baseball Shirt,2XL,,,800,18,,
MAIN STORAGE,09/11/2024,21,Yellow Baseball Shirt,Medium,,,800,10,,M - 10 L -10  XL - 10
MAIN STORAGE,09/11/2024,21,Yellow Baseball Shirt,Large,,,800,20,,2XL - 10 12/02/2024
MAIN STORAGE,09/11/2024,21,Yellow Baseball Shirt,XL,,,800,26,,
MAIN STORAGE,09/11/2024,21,Yellow Baseball Shirt,2XL,,,800,20,,
MAIN STORAGE,09/11/2024,22,White Hoodie (gold tigers lettering),Medium,,,1200,11,,all items are taken 01/16/2025
MAIN STORAGE,09/11/2024,23,"JYL Hoodie ( white , yellow, green",XL,,,1900,19,,"8 pcs. 12/02/2024 , 11 pcs. 12/14/2024"
MAIN STORAGE,09/11/2024,24,Yellow Happy Tiger,2XL,,,450,10,,all items are taken 01/16/2025
MAIN STORAGE,09/11/2024,25,Yellow Oat Shirt,2XL,,,375,25,,all items are taken 01/16/2025
MAIN STORAGE,09/11/2024,26,Bomber Jacket,Medium,,,1900,8,,
MAIN STORAGE,09/11/2024,26,Bomber Jacket,Large,,,1900,13,,ALL SIZES
MAIN STORAGE,09/11/2024,26,Bomber Jacket,XL,,,1900,15,,ARE TAKEN
MAIN STORAGE,09/11/2024,26,Bomber Jacket,2XL,,,1900,11,,16/11/2024 0:00
APPAREL,13/11/2024,1,Black Sporty Sweatshirt,XS,INSIDE,,1450,30,,
APPAREL,13/11/2024,1,Black Sporty Sweatshirt,XS,OUTSIDE,,1450,2,,
APPAREL,13/11/2024,1,Black Sporty Sweatshirt,Small,INSIDE,,1450,50,,
APPAREL,13/11/2024,1,Black Sporty Sweatshirt,Small,OUTSIDE,,1450,1,,
APPAREL,13/11/2024,1,Black Sporty Sweatshirt,Medium,INSIDE,,1450,24,,
APPAREL,13/11/2024,1,Black Sporty Sweatshirt,Medium,OUTSIDE,,1450,1,,
APPAREL,13/11/2024,1,Black Sporty Sweatshirt,Large,INSIDE,,1450,5,,
APPAREL,13/11/2024,1,Black Sporty Sweatshirt,XL,INSIDE,,1450,9,,
APPAREL,13/11/2024,1,Black Sporty Sweatshirt,2XL,INSIDE,,1450,49,,
APPAREL,13/11/2024,1,Black Sporty Sweatshirt,2XL,OUTSIDE,,1450,2,,
APPAREL,13/11/2024,2,Gray and Black Sporty Sweatshirt,XS,INSIDE,,1450,35,,
APPAREL,13/11/2024,2,Gray and Black Sporty Sweatshirt,XS,OUTSIDE,,1450,2,,
APPAREL,13/11/2024,2,Gray and Black Sporty Sweatshirt,Small,INSIDE,,1450,30,,
APPAREL,13/11/2024,2,Gray and Black Sporty Sweatshirt,Small,OUTSIDE,,1450,1,,
APPAREL,13/11/2024,2,Gray and Black Sporty Sweatshirt,Medium,INSIDE,,1450,31,,
APPAREL,13/11/2024,2,Gray and Black Sporty Sweatshirt,Medium,OUTSIDE,,1450,3,,
APPAREL,13/11/2024,2,Gray and Black Sporty Sweatshirt,Large,INSIDE,,1450,25,,
APPAREL,13/11/2024,2,Gray and Black Sporty Sweatshirt,Large,OUTSIDE,,1450,1,,
APPAREL,13/11/2024,2,Gray and Black Sporty Sweatshirt,XL,INSIDE,,1450,23,,
APPAREL,13/11/2024,2,Gray and Black Sporty Sweatshirt,2XL,INSIDE,,1450,15,,
APPAREL,13/11/2024,2,Gray and Black Sporty Sweatshirt,2XL,OUTSIDE,,1450,2,,
APPAREL,13/11/2024,3,Gray and White Sporty Sweatshirt,XS,INSIDE,,1450,27,,
APPAREL,13/11/2024,3,Gray and White Sporty Sweatshirt,Small,INSIDE,,1450,29,,
APPAREL,13/11/2024,3,Gray and White Sporty Sweatshirt,Small,OUTSIDE,,1450,2,,
APPAREL,13/11/2024,3,Gray and White Sporty Sweatshirt,Medium,INSIDE,,1450,25,,
