item_name,fsn_class,supplier_name,first_sale,total_units
UST OAT T-Shirt Y/B/COLLEGE (3XL),S,JUC,2026-03-02,9
MJ Charger,S,USTORE,2025-11-05,8
GT 375,S,JYL ATHLETICA,2024-05-02,7
UST Logo Embro Polo Shirt (2XL-3XL),S,THREADMARKED,2026-04-05,7
Sci Notebook,S,COLLEGE OF SCIENCE AT 100,2026-04-05,5
Subli. Shirt 2 colors,S,JYL ATHLETICA,2024-11-03,5
280ml Desk Mug / MCIA028,S,TIGER FLASK,2026-01-07,4
SM Tiger Plushie Big V2,S,USTORE,2026-07-01,3
Tote Bag Black,S,NAPOLIZ ENTERPRISES,2024-05-02,3
Woven Sling Bag (LARGE),S,"ASSOCIATION FOR THE EDUCATIONAL ASSISTANCE OF POOR SEMINARIANS, INC.",2025-09-01,3
1.5 Tumbler (MTA-T150) for Carbonated Drinks,S,TIGER FLASK,2025-11-05,2
Big Mystery Car,S,MADEBYRUZ CONSUMER GOODS TRADING,2025-06-02,2
Cane Umbrella,S,NAPOLIZ ENTERPRISES,2024-05-02,2
UST Santo Tomas Script T-Shirt,S,JUC,2024-05-02,1
UST Toddler Hoodie,S,THREADMARKED,2026-07-01,1
Woven Tote Bag (BIG),S,"ASSOCIATION FOR THE EDUCATIONAL ASSISTANCE OF POOR SEMINARIANS, INC.",2025-09-01,1
(white/black/yellow line design),N,,,0
800ml Sports Tumbler (MCZ-2080) screw lid anti bacterial,N,TIGER FLASK,,0
800ml Sports Tumbler (MCZ-S040) screw lid antibacterial,S,,2025-11-05,0
Alessandrini,N,,,0
Back pack,N,NAPOLIZ ENTERPRISES,,0
"Baseball Shirt (Y,W)",N,JYL ATHLETICA,,0
Black Click Pen,N,,,0
Black Embro,N,BLAZE,,0
Black Pen 1 line,N,,,0
Black Pen 2 lines,N,,,0
Black Script Shirt,N,,,0
Black Shorts,N,,,0
Corp Jacket,N,JYL ATHLETICA,,0
Corp Windbreaker,N,JYL ATHLETICA,,0
Dry Fit N ew Shirt Black,N,,,0
Dry Fit Shirt Black,N,,,0
Embro Cap,S,THREADMARKED,2025-11-05,0
GROWLING HOODIE,S,JUC,2024-11-03,0
Hernandez,N,,,0
QUIANA SUBLI SHIRT (B&Y),N,JYL ATHLETICA,,0
SM Tiger Plushie Small V2,S,USTORE,2026-07-01,0
Tiger Brooch,N,,,0
UST 3D Keychain,N,THREADMARKED,,0
UST Black  Cup,N,,,0
Wearable Blanket,N,STITCH CORP.,,0
White Big Clock,N,,,0
White Clock,N,,,0
White Pen 1 lines,N,,,0
White Pen 2 lines,N,,,0
White Small Clock,N,,,0
Yellow Pen 2 lines,N,,,0
w/ black collar,N,,,0
