item_name,fsn_class,supplier_name
Varsity UST Baseball Shirt,N,
Viva Tote Bag,N,
Volleyball Athletic V.1,N,
Volleyball Jersey,N,
Wearable Blanket,N,STITCH CORP.
White - Yellow Inside Mug,N,
White Big Clock,N,
White Blaze Polo Shirt,N,
White Clock,N,
White Hoodie (black tiger head design),N,
White Hoodie w/ Gold TIgers Lettering,N,
White Hoodie w/ black tiger head,N,
White Hoodie w/ gold tiger head,N,
White Oat Mug,N,
White Pen 1 lines,N,
White Pen 2 lines,N,
White Polo Shirt w/ black scratch,N,
White Shirt (script lettering),N,
White Shirt (tiger picture),N,
White Small Clock,N,
White UAAP Subli Polo Shirt,N,
Yellow Aquaflask (display included),N,
Yellow Big Clock,N,
Yellow Click Pen,N,
Yellow Clock,N,
Yellow Gold Umbrella,N,
Yellow Golden Tigresses,N,
Yellow Golf Umbrella,N,
Yellow Happy Tiger,N,
Yellow Hoodie Embro,N,
Yellow Hoodie w/ Tigers Lettering,N,
Yellow Hoodie w/ black tiger head,N,
Yellow Lanyard,N,USTORE
Yellow Oat Mug,N,
Yellow Oat Shirt,N,
Yellow Pen 1 line,N,
Yellow Pen 2 lines,N,
Yellow Polo Shirt w/ black scratch,N,
Yellow Quina Two Toned,N,
Yellow Script Shirt,N,
Yellow Shirt (tiger head print in middle),N,
Yellow Shirt (tiger head print infront),N,
Yellow Shirt Volleyball,N,
Yellow Small Clock,N,
Yellow Sporty Shirt,N,
Yellow UST Scarves,N,
Yelow Tiger Pattern,N,
w/ black collar,N,
0.50L B1T1 Tumbler (MCX-A501) Push Button Lid,S,TIGER FLASK
0.50L B1T1 Tumbler (MCY-A050) screw lid,S,TIGER FLASK
0.8L B1T1 Tumbler 2 way lid,S,TIGER FLASK
1.2L Tumbler (MTA-T120) for Carbonated drinks,S,TIGER FLASK
1.5 Tumbler (MTA-T150) for Carbonated Drinks,S,TIGER FLASK
280ml Desk Mug,S,TIGER FLASK
280ml Desk Mug / MCIA028,S,TIGER FLASK
480ml Tumbler (MKA-KO48)Push Botton Lid Anti Bacterial,S,TIGER FLASK
500ml Tumbler (MTA-T050) for Carbonated drinks,S,TIGER FLASK
5M Magnetic Pin,S,USTORE
800ml Sports Tumbler (MCZ-S040) screw lid antibacterial,S,
800ml Sports Tumbler (MCZ-S080) screw lid antibacterial,S,
800ml Tumbler (MTA-T080) for Carbonated drinks,S,TIGER FLASK
ABSC College Shirt (60th),S,SHIRT HAPPENS
Aquaflask,S,USTORE
Arch @320,S,TET AND DARS
Artic Back Pack,S,
Auto Umbrella,S,USTORE
BASE BALL SHIRT,S,JYL ATHLETICA
Bag,S,USTORE
Baller,S,VARSITY LIFESTYLE
Bamboo Notebook @150,S,STITCH CORP.
Bamboo Pen @60,S,STITCH CORP.
Baseball Cap METAL @380,S,STITCH CORP.
Baseball Cap VELCRO @380,S,STITCH CORP.
Big Car,S,MADEBYRUZ CONSUMER GOODS TRADING
Big Mystery Car,S,MADEBYRUZ CONSUMER GOODS TRADING
Black Double Canopy Umbrella,S,
Black Embro Oversized Shirt,S,
Black Hoodie Embro,S,
Black Lanyard,S,
Black Laptop Bag,S,
Black Wearable Blanket,S,
Black w/ Yellow UST Embro,S,BLAZE
Blanca Pen,S,USTORE
Bomber Jacket,S,JUC
Bookmarks,S,USTORE
Button Pin (Big),S,USTORE
Button Pin (Small),S,USTORE
Button Pins Small,S,USTORE
C. Sticker @120,S,USTORE
Cane Umbrella,S,NAPOLIZ ENTERPRISES
Canvass Bag,S,"ASSOCIATION FOR THE EDUCATIONAL ASSISTANCE OF POOR SEMINARIANS, INC."
Caps,S,VARSITY LIFESTYLE
Ceramic Mug 18oz,S,TOP GUN PHILS.
Charger,S,USTORE
Chibi Stickers,S,USTORE
"Chibi Stickers (S1,S2)",S,USTORE
Clappers,S,USTORE
Clock @550,S,STITCH CORP.
Clock @700,S,STITCH CORP.
College Keychain,S,
College Long Sticker,S,
College Sticker @120,S,USTORE
Corp Black Windbreaker,S,
Corp Jacket V2,S,STITCH CORP.
Corp Jacket V3,S,JYL ATHLETICA
Corp Jacket v.2,S,
Corp Jacket v.3,S,
Cotton Black Jacket,S,JYL ATHLETICA
Cotton Brush Jacket,S,JYL ATHLETICA
Cotton Gray Jacket,S,JYL ATHLETICA
Crew Neck Shirt @475,S,BLAZE
DRI-FIT NEW,S,JYL ATHLETICA
"Double Canopy (B,Y)",S,STITCH CORP.
Dri-Fit Golden Tigresses,S,JYL ATHLETICA
Eco Bag @ 130,S,TET AND DARS
Eco Bag @80,S,TET AND DARS
Eco Bag CGEEE!,S,USTORE
Embro Cap,S,THREADMARKED
Forward Back Pack,S,
GROWLING HOODIE,S,JUC
GT 375,S,JYL ATHLETICA
Gemini Paper Bag Large,S,USTORE
Gemini Paper Bag Medium,S,USTORE
Gemini Paper Bag Small,S,USTORE
Generic Lanyard,S,
Go Fight UST Shirt,S,SHIRT HAPPENS
Gold Baseball Shirt,S,
