item_name,fsn_class,ordering_cost_scenario,safety_stock,reorder_point,eoq
0.50L B1T1 Tumbler (MCX-A501) Push Button Lid,S,high_goods_value,0.043672334853905904,0.09298740334705659,524.0937756874105
0.50L B1T1 Tumbler (MCX-A501) Push Button Lid,S,low_admin_cost,0.043672334853905904,0.09298740334705659,41.43325096723989
1.2L Tumbler (MTA-T120) for Carbonated drinks,S,high_goods_value,0.21836167426952946,0.46493701673528287,1171.9093090215763
1.2L Tumbler (MTA-T120) for Carbonated drinks,S,low_admin_cost,0.21836167426952946,0.46493701673528287,92.64756569155732
1.5 Tumbler (MTA-T150) for Carbonated Drinks,S,high_goods_value,0.08734466970781181,0.18597480669411318,741.1805255324585
1.5 Tumbler (MTA-T150) for Carbonated Drinks,S,low_admin_cost,0.08734466970781181,0.18597480669411318,58.595465451078816
280ml Desk Mug,S,high_goods_value,0.08734466970781181,0.18597480669411318,741.1805255324585
280ml Desk Mug,S,low_admin_cost,0.08734466970781181,0.18597480669411318,58.595465451078816
280ml Desk Mug / MCIA028,S,high_goods_value,0.17468933941562362,0.37194961338822635,1048.187551374821
280ml Desk Mug / MCIA028,S,low_admin_cost,0.17468933941562362,0.37194961338822635,82.86650193447979
480ml Tumbler (MKA-KO48)Push Botton Lid Anti Bacterial,S,high_goods_value,0.17468933941562362,0.37194961338822635,1048.187551374821
480ml Tumbler (MKA-KO48)Push Botton Lid Anti Bacterial,S,low_admin_cost,0.17468933941562362,0.37194961338822635,82.86650193447979
500ml Tumbler (MTA-T050) for Carbonated drinks,S,high_goods_value,0.043672334853905904,0.09298740334705659,524.0937756874105
500ml Tumbler (MTA-T050) for Carbonated drinks,S,low_admin_cost,0.043672334853905904,0.09298740334705659,41.43325096723989
5M Magnetic Pin,S,high_goods_value,22.295972661870813,40.54254800433657,10081.14505967877
5M Magnetic Pin,S,low_admin_cost,22.295972661870813,40.54254800433657,796.984495278475
5M Rotating Keychain,F,high_goods_value,82.47843321385054,150.97706335083683,19532.60307427412
5M Rotating Keychain,F,low_admin_cost,82.47843321385054,150.97706335083683,1544.1878586678315
800ml Sports Tumbler (MCZ-S080) screw lid antibacterial,S,high_goods_value,0.043672334853905904,0.09298740334705659,524.0937756874105
800ml Sports Tumbler (MCZ-S080) screw lid antibacterial,S,low_admin_cost,0.043672334853905904,0.09298740334705659,41.43325096723989
800ml Tumbler (MTA-T080) for Carbonated drinks,S,high_goods_value,0.043672334853905904,0.09298740334705659,524.0937756874105
800ml Tumbler (MTA-T080) for Carbonated drinks,S,low_admin_cost,0.043672334853905904,0.09298740334705659,41.43325096723989
ABSC College Shirt (60th),S,high_goods_value,6.1490698473446095,9.409343819947349,4831.905864740566
ABSC College Shirt (60th),S,low_admin_cost,6.1490698473446095,9.409343819947349,381.9956993026417
Aquaflask,S,high_goods_value,10.744918026970511,23.56683583518969,8450.758207741734
