group,method,mae,mase_weighted,mase_global,n_skus
cluster0,croston,60.4360257382252,2.0841338273572254,1.7201049116603373,31
cluster0,ets,51.09462257432996,2.0624918925571474,1.4542337980696798,31
cluster0,ewma_a0.1,49.04199235369093,1.835873138886058,1.3958126944114606,31
cluster0,lightgbm,69.76561162022534,2.0702571697875403,1.985639686711492,31
cluster0,lightgbm_pooled_cat,58.73845807822018,1.95988839473842,1.67178945024171,31
cluster0,logistic_hurdle_per_sku,49.58669295834632,1.818018645411482,1.4113157354206494,31
cluster0,logistic_hurdle_pooled_cat,49.16472896089718,1.8049231740477014,1.399305972440867,31
cluster0,naive,135.52956989247312,5.339287163232371,3.857385987904342,31
cluster0,random_forest,86.01637003114027,2.7105383465814854,2.4481619823021554,31
cluster0,random_forest_pooled_cat,59.62189869924399,2.018233191039667,1.6969335680558995,31
cluster0,rolling_mean_30,44.645161290322584,1.6075249882661846,1.270671925880463,31
cluster0,rolling_median_30,54.06182795698925,2.0198139841836102,1.5386851578385112,31
cluster0,rolling_q75_30,57.86290322580645,2.1119590466205973,1.6468697738786713,31
cluster0,sba,58.144804411343856,2.0062739193237573,1.6548931276303895,31
cluster0,seasonal_naive,55.956989247311824,2.080253669533828,1.592624446599694,31
cluster0,tsb,49.51230311829575,1.8523169428475097,1.4091984828765647,31
cluster0,weekly_hurdle_12w_per_sku,48.07680491551459,1.7591309314462282,1.368341932844988,31
cluster0,xgboost,66.86946385642275,2.1143629652376004,1.9032107391994773,31
cluster0,xgboost_pooled_cat,51.645135028892376,1.818546776126693,1.4699022535224686,31
cluster1,croston,6.416572227281326,9.037531772756436,5.270365220221521,114
cluster1,ets,2.055569103611998,12.756247025919864,2.0402368483133952,114
cluster1,ewma_a0.1,1.753425125930393,9.942993914322697,1.7399303055300623,114
cluster1,lightgbm,6.360981917914612,12.113184596425548,6.3194670598146345,114
cluster1,lightgbm_pooled_cat,7.175532992775295,18.695989388338926,6.995525724624562,114
cluster1,logistic_hurdle_per_sku,2.2789658058588422,11.531245472071445,2.262275003221264,114
cluster1,logistic_hurdle_pooled_cat,1.6557001174406174,9.080232396145304,1.6427995943101212,114
cluster1,naive,3.406695156695157,16.918604511929473,3.3831462684490825,114
cluster1,random_forest,2.029451159902113,11.600020129376134,2.0142777362360724,114
cluster1,random_forest_pooled_cat,2.192110196981916,9.219516105151577,2.170136661205555,114
cluster1,rolling_mean_30,1.6317663817663817,9.014798644834979,1.619011407395491,114
cluster1,rolling_median_30,1.6688034188034189,9.30338953112722,1.655823210274619,114
cluster1,rolling_q75_30,2.0277777777777777,12.731647060143983,2.012614530487705,114
cluster1,sba,6.153386158901108,8.987793435648033,5.063997375457091,114
cluster1,seasonal_naive,2.1595441595441596,12.425133209985313,2.143579598423064,114
cluster1,tsb,1.6600390980501696,9.483349717987533,1.6471121881802917,114
cluster1,weekly_hurdle_12w_per_sku,1.6011904761904765,8.468770320276139,1.5886214437548927,114
cluster1,xgboost,1.703068347930957,9.949175259278146,1.6898797633257951,114
cluster1,xgboost_pooled_cat,1.8885189911900844,8.90721152802779,1.8671151693328467,114
cluster2,croston,78.3945714547417,25.98167539267016,1.573356653485744,2
cluster2,ets,16.058379745326977,25.08727269337641,0.3222870939615643,2
cluster2,ewma_a0.1,8.367950632127409,29.361230275228014,0.16794237864669856,2
cluster2,lightgbm,429.20485446745266,25.67556379095176,8.614018814741566,2
cluster2,lightgbm_pooled_cat,445.3404731223778,111.17536666654016,8.9378560715533,2
cluster2,logistic_hurdle_per_sku,18.89401443189332,66.29478748032744,0.37919747204226834,2
cluster2,logistic_hurdle_pooled_cat,16.041969472706757,56.287612184936,0.3219577444781317,2
cluster2,naive,7.125,25.000000000000004,0.14299671454365578,2
cluster2,random_forest,7.448966550841875,26.018242043114775,0.14949863066890887,2
cluster2,random_forest_pooled_cat,74.94493606445113,126.5813605620289,1.5041234566878388,2
cluster2,rolling_mean_30,14.249999999999998,50.0,0.2859934290873115,2
cluster2,rolling_median_30,7.125,25.000000000000004,0.14299671454365578,2
cluster2,rolling_q75_30,7.125,25.000000000000004,0.14299671454365578,2
cluster2,sba,74.83109288200463,25.932591623036647,1.5018386565386397,2
cluster2,seasonal_naive,7.125,25.000000000000004,0.14299671454365578,2
cluster2,tsb,8.367950631197116,29.361230275228007,0.16794237862802783,2
cluster2,weekly_hurdle_12w_per_sku,9.669642857142856,33.92857142857142,0.19406696973781853,2
cluster2,xgboost,7.536473501163225,25.94390872168785,0.1512548701630405,2
cluster2,xgboost_pooled_cat,7.552748065247822,25.615198171713903,0.1515814960149321,2
cluster3,croston,43.17302495789812,7.197404165310812,4.007865484762852,115
cluster3,ets,25.661347833616194,8.41140284654245,2.922963249481543,115
cluster3,ewma_a0.1,18.649528100484517,6.078592338653397,2.1242798940778695,115
cluster3,lightgbm,38.595748241248444,7.659419408533379,4.396259870170404,115
cluster3,lightgbm_pooled_cat,28.58596066051945,6.529478137833401,3.095179014903754,115
cluster3,logistic_hurdle_per_sku,18.536748798857403,6.220445704957194,2.111433735096056,115
cluster3,logistic_hurdle_pooled_cat,17.62647877745713,6.034924723881457,2.0077491649437325,115
cluster3,naive,38.747126436781606,13.175491612813074,4.413502647330247,115
cluster3,random_forest,29.608836767776886,9.009279357504163,3.3726031186380485,115
cluster3,random_forest_pooled_cat,20.36084451399276,6.157047012630191,2.3162191159563483,115
cluster3,rolling_mean_30,17.072557471264368,5.963081799653223,1.9446545982980445,115
cluster3,rolling_median_30,17.853448275862068,6.887133882880976,2.0336021913277085,115
cluster3,rolling_q75_30,17.138649425287355,6.677841226638323,1.9521828214431494,115
cluster3,sba,41.64242612076426,7.100362749148214,3.8790107020842983,115
cluster3,seasonal_naive,20.7808908045977,6.83602711353503,2.3670533795483917,115
cluster3,tsb,17.587644581889666,5.962712992089089,2.0033257446618795,115
cluster3,weekly_hurdle_12w_per_sku,17.94104064039409,6.056785083199246,2.0435794249524717,115
cluster3,xgboost,24.888856178301193,7.769154828401608,2.8349723639810165,115
cluster3,xgboost_pooled_cat,18.064010090937877,5.704817307061933,2.056071620359421,115
