forecast_category,tier,n_folds,mape_pct,mae,mase,rmse,mean_actual_30d,n_mape_undefined,n_fallback,n_capped
Outerwear,full,12,36.48577661012071,84.84284829206022,0.8818639968719906,104.31518382475242,279.5833333333333,0,0,0
Uncategorised,full,12,55.51061470293557,59.80462680676742,1.2285967199932655,70.1423603699601,126.33333333333333,0,0,0
Shirts & Tops,full,12,60.8185875527833,653.0853840661811,1.3569450882584186,787.7234883802145,1127.25,0,0,0
Drinkware,full,12,60.826287508553264,96.67993172710804,0.8684723896906662,116.62294930395002,186.25,0,0,0
Keychains & Charms,full,12,69.65694252156224,227.82402097418404,0.8595994757930904,290.1375822749773,440.1666666666667,0,0,0
Stationery,full,12,74.15639026619777,419.66015160445704,0.8919596688146696,584.1517133616452,841.0,0,0,0
Lanyards & IDs,full,12,78.19267304839873,547.4652895258398,1.5533561836574432,708.0593955359292,825.0,0,0,0
Bags,full,12,92.9488710604545,239.59968644380578,0.8045914123985999,339.3281964409349,330.0,0,0,0
Umbrellas & Gear,full,12,107.92844596545675,100.85865833074074,0.6782007661134191,128.0884170909871,138.91666666666666,0,0,0
Plush & Souvenirs,full,12,316.28013677348486,282.9269927636973,0.7567180453140593,436.9619949652631,182.25,0,0,0
Apparel Accessories,full,10,493.2452251356649,47.64393899376728,0.6710413942784124,54.687649866213754,46.8,0,0,0
Home & Novelty,reduced,10,792.50935766747,99.48283688480237,1.3581274660041278,122.8133419785653,37.5,0,0,0
