mae,mase_mean,mase_median,mase_trimmed,mase_weighted,mase_global,rmsse_mean,rmsse_median,pct_mase_from_worst10,n_skus,method,variant
30.98678702835609,8.342996029855911,4.094819887430993,6.708394516720316,5.227103966907185,3.5450940219949407,2.9796690947740183,2.1652847750572075,22.837262701233907,262,lightgbm,per_sku (committed)
23.88524907833721,6.912325797261278,2.2175704816633317,4.783625300361252,6.151071565232391,2.7325981063696534,2.5980074539341667,1.4710796748662571,32.2495669279332,262,random_forest,per_sku (committed)
19.452603909557492,5.671106780049074,1.8723655180671683,4.093754807911881,5.2060256448531135,2.225453580719388,2.1268735521184143,1.3224369863698562,28.630874626968343,262,xgboost,per_sku (committed)
32.379841623715734,119.3705029000859,8.664970996028842,44.50680601688741,8.947031805193303,3.658606715409631,18.504990507293964,3.628799718646171,59.879804189843775,262,lightgbm,pooled_by_category
24.758107705954036,18.297746626304086,4.789848330642487,11.814993265065377,7.085588594553335,2.8313819393996695,7.390230172469527,2.4753459456513096,34.06383908200631,262,random_forest,pooled_by_category
15.423860011010767,12.707948281026388,3.8984712219833515,7.907066930502182,4.589216498652979,1.7621204177227052,3.571374506047931,2.078904896477965,38.64860925335561,262,xgboost,pooled_by_category
34.53888838481425,17.03986711123503,4.7542600822180265,8.95160256089826,6.96313067961693,3.8556150609970694,6.055998083311138,2.754621166235831,47.92812772854296,262,random_forest,pooled_by_category_speed
24.175415065633203,13.079855385009777,3.665975721383641,6.756568617116057,5.163207763383303,2.6979098766464435,3.9806885882194294,1.9076583703803007,48.38718421290854,262,xgboost,pooled_by_category_speed
30.359179718410612,160.45302740538963,7.845203502421985,39.87400064620684,8.676743834779108,3.44627416580936,22.06705834438266,3.2139508249535416,73.0723095355495,262,lightgbm,pooled_by_product_type
19.685285103653037,17.743388252431373,3.317426397809625,9.506763248185694,6.074406373240497,2.2516242442417687,6.174005057635966,1.867091064728248,43.08475714225422,262,random_forest,pooled_by_product_type
16.427972769214744,13.795763857590481,3.350384769211818,7.331528456325661,4.993434500830528,1.8779558952794795,3.8680820198435018,1.7630233673794358,44.4775011770929,262,xgboost,pooled_by_product_type
21.76099529968488,37.43285481407756,6.130071349776938,16.928062128324935,5.771508072641106,2.475849620221022,6.416029015417434,2.4653336845973715,52.141164349745864,262,lightgbm,pooled_by_category_speed_syn5y
16.536004223880674,14.720226861282955,3.5879702468106824,7.793732546905065,4.6274319387154845,1.8878381539411417,2.9994126945049016,1.7247502356163045,45.72166914838502,262,random_forest,pooled_by_category_speed_syn5y
16.088219975005778,11.64524331013631,3.352107556391276,6.59215885390427,4.477590647426848,1.8377732981667918,2.584464212322705,1.6804992457056043,42.61581031869711,262,xgboost,pooled_by_category_speed_syn5y
29.28239017482166,12.499661202164672,2.9085762143105924,5.6754993232110476,4.881475394885223,2.895672219563897,3.646295703703121,1.65335663611794,55.99479707108586,262,croston,committed statistical benchmark
18.170180425251743,9.27728407593013,1.9553940848036682,4.759359927433105,5.6050107389206,2.0787298920714106,3.2554372711542663,1.4365094520402586,49.316609184204395,262,ets,committed statistical benchmark
14.682457382025316,5.4464292391148135,1.8736590942716238,3.729391957234522,4.284115591787501,1.6796950988480448,1.8978003589974248,1.3874222956726454,32.62402829948102,262,ewma_a0.1,committed statistical benchmark
34.24404761904762,8.726847083107078,2.532640513401724,6.269508867659026,9.612640998487123,3.917761315289774,4.672940907500587,2.0342043516906294,25.138668509901915,262,naive,committed statistical benchmark
13.473057644110277,5.271960860346076,1.9529586853530843,3.352234523681494,4.144976807225016,1.5413261491458683,1.771736091893376,1.4641442470750259,33.19131105690334,262,rolling_mean_30,committed statistical benchmark
14.87374686716792,4.834075329923636,1.69680322214047,3.5256305434628876,4.712512458218954,1.7015807701595693,1.8402267549325577,1.4307761487684152,23.13566492637105,262,rolling_median_30,committed statistical benchmark
15.162907268170427,5.686724425395521,1.835686457899854,3.7768936771107264,4.808354713873485,1.7346639764211766,2.052124337004091,1.434604161240331,29.338946660084442,262,rolling_q75_30,committed statistical benchmark
28.205333583141933,12.079322213301936,2.8468144991415114,5.573199117407159,4.795878746613239,2.79516579659061,3.536336122189311,1.6234473282407251,55.27713554516377,262,sba,committed statistical benchmark
16.587092731829575,6.29670296337596,2.1482467991552534,4.027410811837704,4.854408764640729,1.8976068319631778,2.3402507332755498,1.6592396600815147,34.574081507131005,262,seasonal_naive,committed statistical benchmark
14.233115202633961,5.326198191445168,1.8142386509134953,3.634686644549382,4.21709332919961,1.6282852932477425,1.8013026788568345,1.3770875439786985,32.83449306245179,262,tsb,committed statistical benchmark
15.007057783930325,7.329998347032078,2.208013047455948,4.383727786028048,4.530160978054432,1.7168330403213343,2.4557975741284044,1.5560949357293232,36.920853433602225,262,logistic_hurdle_per_sku,real history
14.477349560309234,5.902941772744756,2.000778115922647,3.7987164191631977,4.3458594584615495,1.6562284542169798,1.9686395141046205,1.3894302380215862,33.01482190841147,262,logistic_hurdle_pooled_cat,real history
34.24404761904762,8.726847083107078,2.532640513401724,6.269508867659026,9.612640998487123,3.917761315289774,4.672940907500587,2.0342043516906294,25.138668509901915,262,naive,real history
