product_id,item_name,legacy_category,fsn_class,forecast_category
179,Gray Hoodie Embro,Outerwear,N,Outerwear
180,Gray Oat Hoodie,Outerwear,N,Outerwear
181,Gray and Black Sporty Sweatshirt,Outerwear,N,Outerwear
182,Gray and White Sporty Sweatshirt,Outerwear,N,Outerwear
183,Hair band (tiger ear),Uncategorised,N,Uncategorised
184,Hair band (tiger head and tail),Uncategorised,N,Uncategorised
185,Hernandez,Uncategorised,N,Uncategorised
186,Hoodie,Outerwear,S,Outerwear
187,"Hoodie UST embro (V,G,Y,B) @1800",Outerwear,F,Outerwear
188,Hoodies Breaker,Outerwear,S,Outerwear
189,I.D Case,Uncategorised,N,Uncategorised
190,ID Case,Lanyards & IDs,F,Lanyards & IDs
191,ID Case @20,Lanyards & IDs,S,Lanyards & IDs
192,ID Case v2 @40,Lanyards & IDs,F,Lanyards & IDs
193,IPEA Shirt,Shirts & Tops,S,Shirts & Tops
194,IPEA Yellow Shirt Big Tiger Print Infront,Shirts & Tops,N,Shirts & Tops
195,Insignia Pen,Stationery,S,Stationery
196,JUC Black Jacket w/ red inside,Outerwear,N,Outerwear
197,JUC Bomber Jacket,Outerwear,N,Outerwear
198,JUC Corp Jacket,Outerwear,S,Outerwear
199,JYL Hoodie (black/yellow green inside),Outerwear,N,Outerwear
200,JYL Hoodie (white/green/yellow,Outerwear,N,Outerwear
201,JYL Hoodie Scratch,Outerwear,N,Outerwear
202,JYL Jacket (black/yellow green inside),Outerwear,N,Outerwear
203,JYL Jacket Scratch,Outerwear,N,Outerwear
204,JYL Light Yellow Hoodie,Outerwear,N,Outerwear
205,Jacket,Outerwear,S,Outerwear
206,Jersey Short,Shirts & Tops,S,Shirts & Tops
207,"Keep Growling OS (B,V)",Uncategorised,S,Uncategorised
208,Keychain,Keychains & Charms,N,Keychains & Charms
209,Keychain @160,Keychains & Charms,F,Keychains & Charms
210,Keychain @180,Keychains & Charms,S,Keychains & Charms
211,Kit Set,Uncategorised,S,Uncategorised
212,Kraft Notebook @130,Stationery,F,Stationery
213,Kraft Notebook @85,Stationery,F,Stationery
214,Lanyard,Lanyards & IDs,N,Lanyards & IDs
215,Lanyard @180,Lanyards & IDs,F,Lanyards & IDs
216,Lanyard @190,Lanyards & IDs,F,Lanyards & IDs
217,Laptop Bag,Bags,N,Bags
218,Large Sticker,Stationery,N,Stationery
219,Leather Bag,Bags,S,Bags
220,Logo Keychain @200,Keychains & Charms,S,Keychains & Charms
221,Logo Sticker @25,Stationery,F,Stationery
222,Logo Sticker @30,Stationery,S,Stationery
223,Long Sticker,Stationery,N,Stationery
224,Long Sticker @120,Stationery,S,Stationery
225,MJ Charger,Uncategorised,S,Uncategorised
226,MJ Sticker Bundle,Stationery,S,Stationery
227,MJ Sticker Large,Stationery,F,Stationery
228,MJ Sticker Medium,Stationery,F,Stationery
229,MJ Sticker Small,Stationery,F,Stationery
230,Machete Hoodie v.2,Outerwear,N,Outerwear
231,Machete V2,Uncategorised,S,Uncategorised
232,Magnetic pin,Keychains & Charms,N,Keychains & Charms
233,Main Building,Uncategorised,S,Uncategorised
234,Medium Sticker,Stationery,N,Stationery
235,Mug @170,Drinkware,S,Drinkware
236,Mug @220,Drinkware,S,Drinkware
237,NB @100,Stationery,S,Stationery
238,NB @75,Stationery,S,Stationery
239,Napoliz Hoodie (black/yellow/green inside),Outerwear,N,Outerwear
240,Napoliz Jacket (black/yellow/green inside,Outerwear,N,Outerwear
241,New Baller,Uncategorised,N,Uncategorised
242,New Clappers,Plush & Souvenirs,F,Plush & Souvenirs
243,New Freshman Kit,Uncategorised,N,Uncategorised
244,New GT Shirts,Shirts & Tops,S,Shirts & Tops
245,New Id Case,Lanyards & IDs,N,Lanyards & IDs
246,New Keychain,Keychains & Charms,S,Keychains & Charms
247,New Polo Shirt (EMBROIDED),Shirts & Tops,S,Shirts & Tops
248,New Scarves,Apparel Accessories,N,Apparel Accessories
249,New Scarves (GO USTE),Apparel Accessories,N,Apparel Accessories
250,New Tiger Plushie Big,Plush & Souvenirs,F,Plush & Souvenirs
251,New Tiger Plushie Big @850,Plush & Souvenirs,F,Plush & Souvenirs
252,New Tiger Plushie Small,Plush & Souvenirs,F,Plush & Souvenirs
253,New Tiger Plushie Small @750,Plush & Souvenirs,S,Plush & Souvenirs
254,New UST Keychain,Keychains & Charms,S,Keychains & Charms
255,New Umbrella,Umbrellas & Gear,N,Umbrellas & Gear
256,New Yellow 1611 Growling Shirt,Shirts & Tops,N,Shirts & Tops
257,New Yellow 1611 Oat Shirt,Shirts & Tops,N,Shirts & Tops
258,New Yellow Growling Shirt,Shirts & Tops,N,Shirts & Tops
259,New Yellow Growling Shirt (basketball),Shirts & Tops,N,Shirts & Tops
260,Notebook @220,Stationery,S,Stationery
261,Notelet,Stationery,F,Stationery
262,OAT Tote Bag (Phased Out),Bags,S,Bags
263,Old  Yellow Growling Shirt (basketball),Shirts & Tops,N,Shirts & Tops
264,Old Scarves (UNIVERSITY OF STO.TOMAS),Apparel Accessories,N,Apparel Accessories
265,Orange Sash (display included),Apparel Accessories,N,Apparel Accessories
266,Oversized Sweatshirt,Outerwear,S,Outerwear
267,"Oversized shirt (V,B) @650",Shirts & Tops,F,Shirts & Tops
268,Paper Bag  @ 130,Bags,S,Bags
269,Paper Bag @80,Bags,S,Bags
270,Paper Bag BIG @130,Bags,S,Bags
271,Paper Bag SMALL @80,Bags,S,Bags
272,Paper weight @330,Stationery,S,Stationery
273,Paperweight,Uncategorised,N,Uncategorised
274,Pen @ 50,Stationery,S,Stationery
275,Pen @25,Stationery,S,Stationery
276,Pen @30,Stationery,F,Stationery
277,Pen @40,Stationery,F,Stationery
278,Pen with BOX,Stationery,S,Stationery
279,Pencil,Stationery,S,Stationery
280,Pharmacy Shirt (vilolet/yellow),Shirts & Tops,N,Shirts & Tops
281,Pharmacy Shirt (violet/yellow),Shirts & Tops,N,Shirts & Tops
282,Picasso Pen,Stationery,S,Stationery
283,Polo Shirt @800,Shirts & Tops,S,Shirts & Tops
284,Poloshirt 123456 @860,Shirts & Tops,S,Shirts & Tops
285,Poloshirt 3 Colors,Shirts & Tops,S,Shirts & Tops
286,Poloshirt @800,Shirts & Tops,S,Shirts & Tops
287,Power Bank (display included),Home & Novelty,N,Home & Novelty
288,Powerbank,Home & Novelty,S,Home & Novelty
289,Pure Black Laptop Bag,Bags,S,Bags
290,QUIANA SUBLI SHIRT (B&Y),Shirts & Tops,N,Shirts & Tops
291,"QUIANA SUBLI SHIRT (B&Y), 2 TONED",Shirts & Tops,F,Shirts & Tops
292,Quiana Black Subli Shirt,Shirts & Tops,S,Shirts & Tops
293,Quiana Yelloow Subli Shirt,Shirts & Tops,S,Shirts & Tops
294,Retractable @25,Uncategorised,S,Uncategorised
295,Rotating keychain,Keychains & Charms,N,Keychains & Charms
296,S88 UAAP Poloshirt,Shirts & Tops,S,Shirts & Tops
297,SM Tiger Plushie Big V2,Plush & Souvenirs,S,Plush & Souvenirs
298,SM Tiger Plushie Small V2,Plush & Souvenirs,S,Plush & Souvenirs
299,SM Tiger Plushie V2,Plush & Souvenirs,S,Plush & Souvenirs
300,Sash Big,Apparel Accessories,S,Apparel Accessories
301,Sash Small,Apparel Accessories,S,Apparel Accessories
302,Scarf @490,Apparel Accessories,S,Apparel Accessories
303,Scarves,Apparel Accessories,S,Apparel Accessories
304,Sci Ballpen,Stationery,S,Stationery
305,Sci Notebook,Stationery,S,Stationery
306,Sci Totebag,Bags,S,Bags
307,Shabby Hat,Umbrellas & Gear,S,Umbrellas & Gear
308,Shirts,Shirts & Tops,S,Shirts & Tops
309,Shirts all @450 UPSIZE (3XL-4XL),Shirts & Tops,S,Shirts & Tops
310,Shirts all @450 UPSIZE (3XL-5XL),Shirts & Tops,S,Shirts & Tops
311,Shirts all @450 UPSIZE (5XL),Shirts & Tops,S,Shirts & Tops
312,Sling Bag,Bags,S,Bags
313,Small Handcrafted Sling Bag,Bags,N,Bags
314,Small Handcrafted Tote Bag,Bags,N,Bags
315,Small Mystery Car,Uncategorised,S,Uncategorised
316,Small Paper Bag,Bags,N,Bags
317,Small Sticker,Stationery,N,Stationery
318,Small Tiger,Uncategorised,N,Uncategorised
319,Small Tiger (display Included),Uncategorised,N,Uncategorised
320,Socks @375,Umbrellas & Gear,S,Umbrellas & Gear
321,Stainless Eco Tumbler,Drinkware,S,Drinkware
322,Stainless Steel Tumbler,Drinkware,N,Drinkware
323,Sticker @ 115,Stationery,S,Stationery
324,Sticker @120,Stationery,S,Stationery
325,Sticker @20,Stationery,S,Stationery
326,Sticker @25,Stationery,F,Stationery
327,Sticker Pack,Stationery,S,Stationery
328,Stylus pen @45,Stationery,S,Stationery
329,Subli 2 Color Polo Shirt (big tiger face infront),Shirts & Tops,N,Shirts & Tops
330,Subli 2 Color Polo Shirt (w/black line),Shirts & Tops,N,Shirts & Tops
