forecast_category,tier,n_folds,mape_pct,mae,mase,rmse,mean_actual_30d,n_mape_undefined,n_fallback,n_capped
Outerwear,n/a,12,40.83272351040876,91.73611111111114,0.9535131744216581,111.90293867984519,279.5833333333333,0,0,0
Shirts & Tops,n/a,12,44.112071156842596,441.26944444444433,0.9168455149146809,496.4965326610493,1127.25,0,0,0
Stationery,n/a,12,47.157321421678105,329.09722222222223,0.6994742012528108,371.308885216528,841.0,0,0,0
Uncategorised,n/a,12,53.14027472038055,51.38055555555556,1.0555367602401635,60.102384096423954,126.33333333333333,0,0,0
Bags,n/a,12,60.26002191318616,128.72222222222217,0.4322576382384146,173.96317405107877,330.0,0,0,0
Lanyards & IDs,n/a,12,62.70835681432264,391.3555555555556,1.1104166489850558,471.8712267447865,825.0,0,0,0
Drinkware,n/a,12,79.15202451893391,108.64444444444445,0.9759491820868282,129.03562097917566,186.25,0,0,0
Keychains & Charms,n/a,12,90.6012512198867,278.7527777777778,1.0517580219550147,361.37653403597176,440.1666666666667,0,0,0
Umbrellas & Gear,n/a,12,100.48509632688705,114.70833333333333,0.7713297086616993,138.13963513885614,138.91666666666666,0,0,0
Plush & Souvenirs,n/a,12,107.65466033688638,135.80277777777778,0.36321883445758446,208.34487190268965,182.25,0,0,0
Home & Novelty,n/a,10,652.6268279660575,71.32333333333334,0.9736973833902162,87.31451005798904,37.5,0,0,0
Apparel Accessories,n/a,10,1542.9426421620917,109.90333333333334,1.5479342723004694,132.44182832054565,46.8,0,0,0
