forecast_category,tier,n_folds,mape_pct,mae,mase,rmse,mean_actual_30d,n_mape_undefined,n_fallback,n_capped
Keychains & Charms,full,12,60.236140389633086,137.10464407913003,0.7705943953060211,185.00974527803774,292.4166666666667,0,0,0
Shirts & Tops,full,12,65.96348061004052,514.5231133447862,1.3458750015698613,630.5012416088277,854.75,0,0,0
Bags,full,12,75.1196497987238,193.60135636003506,0.6882101937928019,251.37298753162472,295.1666666666667,0,0,0
Stationery,full,12,75.6756414949099,306.24870853267635,0.7491877047940558,430.70498643931325,602.6666666666666,0,0,0
Lanyards & IDs,full,12,81.97215795834076,531.752734074992,1.5124996452469044,704.3825553773574,714.25,0,0,0
Uncategorised,reduced,5,98.88719174784192,27.95556628999853,0.8222225379411332,32.30385111446871,34.2,0,0,0
Outerwear,full,5,133.56557871068645,58.23736941340769,1.8237172050127672,77.94454272489557,45.6,0,0,0
Umbrellas & Gear,full,12,140.34636906624428,90.3337171732285,0.9836277374434423,111.70402602860749,101.5,0,0,0
Drinkware,full,11,220.29940888556183,188.93874933156943,2.3258770947669607,299.7577044429731,120.72727272727273,0,0,1
Plush & Souvenirs,full,12,988.8194816226243,333.64855052027247,0.732949927372339,469.1139024837476,115.41666666666667,0,0,0
