density_pct,method,mae,mase_median,mase_global,rmsse_median
1.0,naive,2.1229166666666663,0.5646831074951049,0.8569924338836761,0.7819200707678828
1.0,rolling_mean_30,3.718749999999999,1.0528134692506392,1.5012085323673814,1.1054543652106856
1.0,tsb,2.951132743830032,1.0346778574070061,1.1913319408904623,1.0002821545197977
1.0,weekly_hurdle_12w,3.4086309523809524,1.0257092022156833,1.3760177127814024,0.874569685618906
3.0,naive,9.033333333333335,0.7438683771593759,0.9595866414193738,0.9110152290809712
3.0,rolling_mean_30,8.485416666666667,0.9167202679773403,0.9013829313886322,0.862757623404121
3.0,tsb,8.168120840977071,0.8326307834358928,0.8676774514207504,0.8851595639227383
3.0,weekly_hurdle_12w,7.613095238095238,0.8373797551419979,0.8087185782652734,0.717060892941764
5.0,naive,12.647916666666665,0.911617174362757,1.156020166741132,0.9369118750208809
5.0,rolling_mean_30,11.275,0.9972200696238469,1.0305355200795598,0.9315123232555396
5.0,tsb,10.078882942152243,0.892538930965262,0.9212103658192341,0.8332229236610293
5.0,weekly_hurdle_12w,9.116666666666667,0.7851685728278541,0.8332637538559042,0.7028292246502115
10.0,naive,33.97083333333333,0.9731769020753116,1.6397663334064485,1.0646531175300202
10.0,rolling_mean_30,19.24583333333333,0.8699472760316773,0.9289930938310298,0.843891466319038
10.0,tsb,16.88705703499379,0.7915199082452102,0.8151353640514365,0.7306933464696015
10.0,weekly_hurdle_12w,16.47589285714286,0.7411040156425734,0.7952885392848171,0.6419078862183039
20.0,naive,52.914583333333326,1.5341771660662387,1.7332707471698556,1.404636437945443
20.0,rolling_mean_30,30.66041666666667,1.1138610146459098,1.0043129881530286,1.1236003618879864
20.0,tsb,27.795578127854657,1.029129603930501,0.9104723014862269,1.0028362554636017
20.0,weekly_hurdle_12w,25.951339285714283,0.9195285788361318,0.8500623911267391,0.9123639016049985
35.0,naive,83.425,1.632311865336744,1.8622702394735875,1.4623374942794434
35.0,rolling_mean_30,46.46666666666666,1.043111325295451,1.037260898542076,1.0486097047788614
35.0,tsb,41.19051092229925,0.9286613609944915,0.9194829204592105,0.9186393703901896
35.0,weekly_hurdle_12w,39.772619047619045,0.8643704214177506,0.8878317626407107,0.8070451228327613
50.0,naive,127.27083333333334,1.838423176569341,2.346022349428362,1.7988912996730988
50.0,rolling_mean_30,59.591666666666676,1.010240078724467,1.0984714893280219,0.9879895420693174
50.0,tsb,56.550735955025836,0.9669608831612647,1.0424170798005248,0.9446264399637249
50.0,weekly_hurdle_12w,51.20877976190477,0.8962283383074793,0.94394716104148,0.8629701972876173
75.0,naive,127.15833333333335,1.6724869910183906,1.8359473378189446,1.5723566776051847
75.0,rolling_mean_30,67.59791666666668,0.9610900150707544,0.9759974977097335,1.0372621611122739
75.0,tsb,70.46937738680467,1.0275922394230204,1.017456445201357,1.0222274024241873
75.0,weekly_hurdle_12w,55.82455357142858,0.8644551635531875,0.8060104110182477,0.8418017137046763
