mae,mase_mean,mase_median,mase_trimmed,mase_weighted,mase_global,rmsse_mean,rmsse_median,pct_mase_from_worst10,n_skus,method,subset,mean_density
29.28239017482166,12.499661202164672,2.9085762143105924,5.6754993232110476,4.881475394885223,2.895672219563897,3.646295703703121,1.65335663611794,55.99479707108586,262,croston,ALL,7.250006868572161
76.69370603549831,32.64233965604381,3.847059480104103,6.144625172989681,4.697591635667025,3.0196400320986663,8.475952819259346,1.892283821953734,90.14376369181761,58,croston,fast movers (F),13.96530723675921
16.06192709828682,6.772821249591192,2.806935817578871,5.540133739537381,5.300361743215648,2.6812938526223826,2.2731578963390957,1.5792085334555315,24.71284431933662,204,croston,slow movers (S),5.377471188981541
21.43530284498352,27.26372737080479,2.9987286645251228,7.44807525564028,11.151507891873996,4.8838739410658265,6.7721066599966555,1.519336201375138,81.79454692313239,82,croston,almost never (<2%),0.6769962892672011
18.698803792939593,8.479781790630936,3.548218950191332,7.873800370461265,9.188745068146082,5.705645532837565,2.733615891072201,1.8482753977624666,46.58898435162165,61,croston,rare (2-5%),3.4164653261716027
24.854235201096902,6.506922928590042,3.9782867092075387,5.551911003939744,10.284588493153223,3.3877405131806406,2.4707733190504304,1.9720733163420494,55.22133390644091,50,croston,occasional (5-10%),7.2253349573690615
41.66545871267197,3.1968290029220996,2.4047256526996423,2.9178044885406482,4.50857335913636,2.5533645051455784,1.6996726256275043,1.610202680297152,43.412717605983865,55,croston,regular (10-25%),14.629609124128006
90.76719437234712,1.4890828387461936,1.282165695978482,1.4369825484335033,1.913309931885223,1.8162151496039287,1.160392752360957,1.0975369903040446,84.98108428487477,14,croston,frequent (>25%),35.42717939794676
18.170180425251743,9.27728407593013,1.9553940848036682,4.759359927433105,5.6050107389206,2.0787298920714106,3.2554372711542663,1.4365094520402586,49.316609184204395,262,ets,ALL,7.250006868572161
54.80856273664606,5.628202664568465,1.7356720268126444,4.456661541457796,5.062936979232718,2.157962350453682,3.279481235876822,1.4481290208323228,61.93722023283705,58,ets,fast movers (F),13.96530723675921
7.953708434574486,10.314768006611388,2.000816244778906,4.86849691871811,6.839852242524858,1.9417126721217668,3.2486012419684416,1.368954491465491,56.46966525027076,204,ets,slow movers (S),5.377471188981541
2.1731293680868857,16.791477694624025,1.883283439475802,5.497893651389725,21.713035638808048,1.1582926859918496,4.146281820310575,1.2875221703897362,82.35394854673896,82,ets,almost never (<2%),0.6769962892672011
