category,sub_group,origin,n_items,actual_30d,pred_30d,tier,fallback,capped
Home & Novelty,Fast,2025-09-10,1,5.0,195.3,none,1,0
Home & Novelty,Slow,2025-09-10,3,8.0,50.4,none,1,0
Home & Novelty,Fast,2025-10-10,1,3.0,122.4,none,1,0
Home & Novelty,Slow,2025-10-10,3,1.0,38.25,none,1,0
Home & Novelty,Fast,2025-11-09,1,2.0,150.33333333333331,none,1,0
Home & Novelty,Slow,2025-11-09,3,49.0,47.882352941176464,none,1,0
Home & Novelty,Fast,2025-12-09,1,20.0,94.28571428571429,none,1,0
Home & Novelty,Slow,2025-12-09,3,10.0,268.39712064037644,reduced,0,0
Home & Novelty,Fast,2026-01-08,1,4.0,200.66666666666666,none,1,0
Home & Novelty,Slow,2026-01-08,3,26.0,62.143586261378175,reduced,0,0
Home & Novelty,Fast,2026-02-07,1,0.0,127.5,none,1,0
Home & Novelty,Slow,2026-02-07,3,6.0,48.49533820872138,reduced,0,0
Home & Novelty,Fast,2026-03-09,1,0.0,157.5,none,1,0
Home & Novelty,Slow,2026-03-09,3,13.0,163.18294918243473,reduced,0,0
Home & Novelty,Fast,2026-04-08,1,10.0,150.0,none,1,0
Home & Novelty,Slow,2026-04-08,3,83.0,66.12754370475699,reduced,0,0
Home & Novelty,Fast,2026-05-08,1,2.0,146.15384615384616,none,1,0
Home & Novelty,Slow,2026-05-08,3,20.0,249.5727154057774,reduced,0,0
Home & Novelty,Fast,2026-06-07,1,8.0,158.27233989303593,reduced,0,0
Home & Novelty,Slow,2026-06-07,3,105.0,123.93333333333334,none,1,0
Uncategorised,Fast,2025-07-13,2,11.0,97.36666666666667,none,1,0
Uncategorised,Slow,2025-07-13,8,9.0,52.9,none,1,0
Uncategorised,NonMoving,2025-07-13,13,8.0,0.0,none,1,0
Uncategorised,Fast,2025-08-12,3,15.0,85.10000000000001,none,1,0
Uncategorised,Slow,2025-08-12,10,28.0,55.812281776118816,reduced,0,0
Uncategorised,NonMoving,2025-08-12,10,13.0,0.0,none,1,0
Uncategorised,Fast,2025-09-11,4,9.0,109.77600079573241,reduced,0,0
Uncategorised,Slow,2025-09-11,13,86.0,61.65160288259221,reduced,0,0
Uncategorised,NonMoving,2025-09-11,6,80.0,0.0,none,1,0
Uncategorised,Fast,2025-10-11,4,33.0,85.0,none,1,0
Uncategorised,Slow,2025-10-11,14,39.0,57.92425645150032,reduced,0,0
Uncategorised,NonMoving,2025-10-11,5,10.0,0.0,none,1,0
Uncategorised,Fast,2025-11-10,5,80.0,88.15221924136901,reduced,0,0
Uncategorised,Slow,2025-11-10,16,70.0,145.5417450030364,full,0,0
Uncategorised,NonMoving,2025-11-10,2,0.0,0.0,none,1,0
Uncategorised,Fast,2025-12-10,5,45.0,37.89042158926585,reduced,0,0
Uncategorised,Slow,2025-12-10,16,49.0,36.75529956346514,full,0,0
Uncategorised,NonMoving,2025-12-10,2,0.0,0.0,none,1,0
Uncategorised,Fast,2026-01-09,5,71.0,91.22952464943288,reduced,0,0
Uncategorised,Slow,2026-01-09,16,26.0,73.03361662244424,full,0,0
Uncategorised,NonMoving,2026-01-09,2,147.0,0.0,none,1,0
Uncategorised,Fast,2026-02-08,5,88.0,85.37205933894171,reduced,0,0
Uncategorised,Slow,2026-02-08,18,34.0,68.96258027021366,full,0,0
Uncategorised,Fast,2026-03-10,5,54.0,127.55793971986596,reduced,0,0
Uncategorised,Slow,2026-03-10,18,67.0,140.57827380136507,full,0,0
Uncategorised,Fast,2026-04-09,5,55.0,91.16138849832052,reduced,0,0
Uncategorised,Slow,2026-04-09,18,71.0,153.74993628820874,full,0,0
Uncategorised,Fast,2026-05-09,5,52.0,35.398722597429725,reduced,0,0
Uncategorised,Slow,2026-05-09,18,108.0,99.43706280661404,full,0,0
Uncategorised,Fast,2026-06-08,5,60.0,75.72950479255073,reduced,0,0
Uncategorised,Slow,2026-06-08,18,98.0,186.71884089080524,full,0,0
