forecast_category,origin,actual_30d,n_trading_days,n_train_obs,tier,cap,naive_scale,pred_30d,fallback,capped,regressors,error
Apparel Accessories,2025-09-11,42.0,27,63,n/a,,38.0,98.10000000000002,0,0,,
Apparel Accessories,2025-10-11,25.0,17,79,n/a,,28.0,40.8,0,0,,
Apparel Accessories,2025-11-10,81.0,22,90,n/a,,30.0,55.0,0,0,,
Apparel Accessories,2025-12-10,6.0,9,99,n/a,,26.0,41.099999999999994,0,0,,
Apparel Accessories,2026-01-09,171.0,21,100,n/a,,24.0,93.10000000000002,0,0,,
Apparel Accessories,2026-02-08,13.0,18,106,n/a,,112.5,173.99999999999997,0,0,,
Apparel Accessories,2026-03-10,67.0,20,111,n/a,,130.0,194.6666666666666,0,0,,
Apparel Accessories,2026-04-09,2.0,21,119,n/a,,143.5,237.30000000000007,0,0,,
Apparel Accessories,2026-05-09,41.0,19,121,n/a,,112.33333333333333,214.70000000000005,0,0,,
Apparel Accessories,2026-06-08,20.0,22,133,n/a,,65.66666666666667,210.46666666666664,0,0,,
Bags,2025-07-13,164.0,23,171,n/a,,288.25,241.5,0,0,,
Bags,2025-08-12,199.0,23,184,n/a,,384.6,233.0666666666666,0,0,,
Bags,2025-09-11,336.0,27,202,n/a,,207.4,324.9000000000001,0,0,,
Bags,2025-10-11,174.0,17,221,n/a,,354.3333333333333,274.83333333333337,0,0,,
Bags,2025-11-10,472.0,22,234,n/a,,190.16666666666666,366.6666666666668,0,0,,
Bags,2025-12-10,221.0,9,251,n/a,,326.7142857142857,193.8,0,0,,
Bags,2026-01-09,659.0,21,260,n/a,,223.28571428571428,514.5,0,0,,
Bags,2026-02-08,109.0,18,280,n/a,,293.375,540.0,0,0,,
Bags,2026-03-10,199.0,20,297,n/a,,328.25,270.0,0,0,,
Bags,2026-04-09,296.0,21,313,n/a,,333.55555555555554,197.40000000000003,0,0,,
Bags,2026-05-09,611.0,19,329,n/a,,280.55555555555554,305.26666666666665,0,0,,
Bags,2026-06-08,520.0,22,345,n/a,,363.0,657.7999999999998,0,0,,
Drinkware,2025-07-13,113.0,23,115,n/a,,144.0,338.86666666666673,0,0,,
Drinkware,2025-08-12,126.0,23,126,n/a,,110.0,272.1666666666667,0,0,,
Drinkware,2025-09-11,306.0,27,142,n/a,,145.0,240.30000000000004,0,0,,
Drinkware,2025-10-11,183.0,17,160,n/a,,100.75,206.26666666666665,0,0,,
