product_id,item_name,tier,naive_mae,rm30_mae,tsb_mae,delta_mae,rm30_mase,tsb_mase,rm30_30d,tsb_30d,rm30_orderable,tsb_orderable,rm30_beats_naive,tsb_beats_naive
406,UST T-Shirt Tiger Pattern,minimal,0.0,0.0,1.235105977900742e-19,1.235105977900742e-19,0.0,4.162557418013756e-20,0.0,0.0,0,0,0,0
401,UST T-Shirt Happy Tiger,minimal,0.0,0.0,2.079732853688297e-19,2.079732853688297e-19,0.0,4.41023352515235e-20,0.0,0.0,0,0,0,0
400,UST T-Shirt (College Shirt),minimal,0.0,0.0,1.023916362260529e-19,1.023916362260529e-19,0.0,5.085397754975437e-20,0.0,0.0,0,0,0,0
477,White Tote Bag,minimal,0.0,0.0,1.0618326829909709e-19,1.0618326829909709e-19,0.0,5.010027824737973e-19,0.0,0.0,0,0,0,0
242,New Clappers,minimal,0.0,0.0,5.5142691858189574e-09,5.5142691858189574e-09,0.0,5.565323280455846e-11,0.0,0.0,0,0,0,0
378,UST College ID Lace / GENERIC Lace,minimal,0.0,0.0,2.2914831779931932e-10,2.2914831779931932e-10,0.0,6.178210110857938e-11,0.0,0.0,0,0,0,0
252,New Tiger Plushie Small,simplified,0.0,0.0,1.2071573360892022e-08,1.2071573360892022e-08,0.0,1.2248840353832064e-09,0.0,0.0,0,0,0,0
209,Keychain @160,simplified,0.0,0.0,3.6834309974081305e-08,3.6834309974081305e-08,0.0,1.824616522962608e-09,0.0,0.0,0,0,0,0
250,New Tiger Plushie Big,simplified,0.0,0.0,1.555858566446401e-08,1.555858566446401e-08,0.0,2.718882255848564e-09,0.0,0.0,0,0,0,0
276,Pen @30,simplified,0.0,0.0,0.00039773461528487807,0.00039773461528487807,0.0,1.195302386242956e-05,0.0,0.0,0,0,0,0
216,Lanyard @190,standard,0.0,0.0,0.0032682039939937253,0.0032682039939937253,0.0,0.0001355631963541791,0.0,0.0,0,0,0,0
326,Sticker @25,minimal,0.0,0.0,0.0054435846859165775,0.0054435846859165775,0.0,0.0009878606466705337,0.0,0.0,0,0,0,0
213,Kraft Notebook @85,minimal,0.0,0.0,0.0057841895220359305,0.0057841895220359305,0.0,0.0010702528256804084,0.0,0.0,0,0,0,0
394,UST OAT MUG (Y/B inside),standard,0.0,1.5000000000000002,1.0477563217042682,-0.452243678295732,0.0739199408302904,0.05163339020329481,0.0,0.0,0,0,0,0
251,New Tiger Plushie Big @850,standard,18.25,8.916666666666666,9.109935805464461,0.1932691387977954,0.32612557307085,0.3331943590873742,0.0,0.0,0,0,1,1
356,Tote (Viva),standard,6.166666666666667,9.499999999999996,9.047009853746403,-0.4529901462535939,0.3745370056765837,0.3566778927314449,0.0,0.0,0,0,0,0
340,Thick Lanyard,standard,85.0,10.749999999999996,6.259266932522279,-4.490733067477717,0.7186477977941235,0.41843799040583407,0.0,0.0,0,0,1,1
358,Tote Bag Canvas White,standard,123.0,83.58333333333334,81.91800921906282,-1.6653241142705184,0.6185229149093087,0.6061993919729892,60.0,4.2439800000000005,1,1,1,1
221,Logo Sticker @25,standard,14.916666666666666,11.75,10.974538920537489,-0.7754610794625112,0.6933551274472868,0.6475959856957004,0.0,0.0,0,0,1,1
277,Pen @40,standard,130.66666666666666,30.25,35.54028506183329,5.290285061833288,0.5909983961980815,0.694355420560863,0.0,0.0021,0,0,1,1
419,Umb (One For UST),standard,50.166666666666664,52.333333333333336,36.54391945413649,-15.789413879196843,1.0847421771110553,0.757466192653205,0.0,0.0,0,0,0,1
228,MJ Sticker Medium,standard,109.91666666666667,32.0,30.43190528422387,-1.5680947157761302,0.8871689232758752,0.843695020132447,33.0,9.32121,1,1,1,1
229,MJ Sticker Small,standard,191.0,44.41666666666666,51.31110209293457,6.894435426267911,0.7874106347776128,0.9096339392901276,15.99,10.366380000000001,1,1,1,1
227,MJ Sticker Large,standard,81.0,17.666666666666668,18.754124411146933,1.0874577444802647,0.9486923644447424,1.0070883753227458,18.990000000000002,5.51505,1,1,1,1
404,UST T-Shirt Sporty,standard,206.75,71.91666666666664,77.48142306384302,5.564756397176382,1.151397135943107,1.2404897604334426,17.009999999999998,5.33418,1,1,1,1
389,UST OAT MUG (B),simplified,16.916666666666668,22.66666666666667,13.996335949163642,-8.67033071750303,2.133637145784012,1.3174898067356324,0.0,0.0,0,0,0,1
112,C. Keychain,standard,112.58333333333333,41.75,39.24807689650572,-2.5019231034942777,1.432141360549975,1.3463184250426767,8.01,8.73513,1,1,1,1
261,Notelet,standard,59.916666666666664,86.33333333333333,72.67252052313057,-13.660812810202756,1.6118358474691952,1.3567896568160924,0.0,0.09564,0,0,0,0
190,ID Case,standard,15.5,33.333333333333336,28.277176462101952,-5.056156871231384,1.6613225660143838,1.4093253407898225,0.0,0.0,0,0,0,0
54,Ballpen 2 Designs @50 (B&Y),standard,78.16666666666667,66.16666666666667,47.122423882303515,-19.044242784363156,2.1079055917316003,1.5012033369892335,0.0,0.0,0,0,1,1
148,Discounted Yellow Lanyard @80,minimal,3.3333333333333335,23.83333333333334,18.201227087687553,-5.632106245645787,2.034840764387131,1.5539831681074356,0.0,0.0,0,0,0,0
402,UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY,standard,763.25,155.66666666666666,206.18516235078474,50.51849568411808,1.3688472573044068,1.813079190454404,0.0,0.0006299999999999999,0,0,1,1
395,UST OAT T-Shirt Y/B/COLLEGE,standard,347.9166666666667,98.16666666666669,114.44483291823995,16.278166251573268,1.588122220284074,1.8514673903649077,0.0,0.00699,0,0,1,1
392,"UST OAT MUG (Y,W)",simplified,23.0,21.500000000000004,16.909828759748912,-4.590171240251092,2.406298924623383,1.892562919076714,0.0,0.0,0,0,1,1
377,UST College ID Lace,standard,184.75,150.16666666666666,155.56352887664806,5.396862209981407,1.936717383804197,2.0063213584550312,60.0,31.29882,1,1,1,1
346,Tiger Claw Keychain @375,minimal,12.75,13.333333333333336,14.10036660986634,0.7670332765330041,2.0002014051505457,2.1152679829644363,0.0,0.0,0,0,0,0
215,Lanyard @180,standard,1073.3333333333333,261.4166666666667,302.7044030242578,41.287736357591086,1.965882859015026,2.276371299663747,0.99,17.672759999999997,0,1,1,1
156,Eco Bag,simplified,16.916666666666668,26.58333333333334,29.45267898939441,2.8693456560610713,2.1079341797746958,2.3354598894423764,0.0,0.0,0,0,0,0
29,5M Rotating Keychain,standard,335.5,109.83333333333331,140.0409575304118,30.207624197078474,2.291400691218544,2.9216080141192022,8.01,8.73159,1,1,1,1
55,"Ballpen 3 Designs @50 (B,Y,W)",standard,324.0833333333333,104.33333333333331,129.68592250214974,25.352589168816422,2.51654637386071,3.1280572333568624,90.0,22.22259,1,1,1,1
212,Kraft Notebook @130,standard,48.916666666666664,61.91666666666666,59.43445117288027,-2.4822154937863843,3.5228034880102026,3.3815756430653257,0.99,3.60369,0,1,0,0
291,"QUIANA SUBLI SHIRT (B&Y), 2 TONED",standard,149.66666666666666,44.833333333333336,57.242605844949686,12.40927251161635,2.868276445714358,3.6621773539713063,21.99,9.91683,1,1,1,1
48,Automatic Umbrella,standard,106.91666666666667,27.08333333333333,28.85303917881728,1.7697058454839514,3.783121000059813,4.030321419062111,9.0,5.867430000000001,1,1,1,1
403,UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY/Script,simplified,51.416666666666664,44.91666666666666,36.65398969798909,-8.262676968677567,5.086310411133509,4.150654606540905,84.99000000000001,24.93771,1,1,1,1
174,"Go USTE (W,Y,B) @450",standard,58.416666666666664,25.5,33.4850307993285,7.985030799328499,3.2489730613064216,4.266351491138593,14.010000000000002,4.17429,1,1,1,1
352,Tiger Plushie Small,standard,87.91666666666667,30.00000000000001,25.414632461454357,-4.585367538545654,5.119995947838541,4.337427173948404,6.0,5.37465,1,1,1,1
187,"Hoodie UST embro (V,G,Y,B) @1800",standard,87.41666666666667,24.33333333333333,31.161877391950565,6.828544058617236,3.414433174217,4.372608819368168,15.99,5.90148,1,1,1,1
397,UST OAT T-Shirt Y/B/COLLEGE (XS-2XL),simplified,49.333333333333336,48.75000000000001,46.513681456571895,-2.236318543428112,4.693503126338294,4.4781971145420245,41.01,15.859169999999999,1,1,1,1
350,Tiger Paw Keychain @375,standard,214.0,76.83333333333333,88.17520525715845,11.341871923825124,4.0516602003820905,4.64975231845055,9.99,6.93051,1,1,1,1
267,"Oversized shirt (V,B) @650",standard,40.666666666666664,17.333333333333336,27.852612703133975,10.519279369800639,3.0349702882375924,4.876837615603877,0.0,0.0,0,0,1,1
381,UST Keyboard Clicker (Fidget),simplified,55.833333333333336,29.75,25.63526043925545,-4.11473956074455,5.839556219330062,5.031883849821851,33.0,13.72035,1,1,1,1
74,Black Eco Bag,standard,228.0,102.16666666666669,105.14330742831635,2.976640761649662,4.954143756658868,5.098483458895179,60.0,21.30111,1,1,1,1
393,"UST OAT MUG (Y,W,B)",standard,51.583333333333336,41.24999999999998,37.09089620503448,-4.159103794965496,5.749020303611553,5.169365220894353,0.99,4.78821,0,1,1,1
354,Tiger w/ Box,standard,107.25,40.00000000000001,24.26535292982737,-15.734647070172638,8.98433294335082,5.450200242737058,0.0,1.42737,0,1,1,1
39,Arch @350,standard,39.75,22.83333333333333,18.319077773257142,-4.514255560076187,6.852729548071919,5.4979132357763545,3.99,5.30232,1,1,1,1
359,Tote Viva Santo Tomas,standard,88.91666666666667,50.58333333333332,55.617275568535995,5.033942235202673,5.025648029549278,5.525789483424953,9.0,8.0163,1,1,1,1
