item_name,n_sale_days,total_units,mean_units,log_mean_units,cv,active_rate,p90_share,weekday_gini,break_ratio,exam_ratio,log_price,cluster,semantic_category,cluster_label
5M Magnetic Pin,126,612.0,4.857142857142857,1.7676619176489945,2.4835542117077596,0.25149700598802394,0.5620915032679739,0.2511671335200747,0.8537897310513447,1.8281377343113283,4.875197323201151,0,Keychains & Charms,c0-steady-bursty-mid
5M Rotating Keychain,183,1611.0,8.80327868852459,2.2827168897773205,2.5267034997114957,0.3652694610778443,0.5574177529484792,0.2424403653453933,0.5329896907216495,1.145360824742268,5.14166355650266,0,Keychains & Charms,c0-steady-bursty-mid
ABSC College Shirt (60th),77,229.0,2.9740259740259742,1.379779680098697,1.4585071984053708,0.1536926147704591,0.45414847161572053,0.3605739238927012,0.619718309859155,0.43380281690140843,5.860786223465865,2,Shirts & Tops,c2-slow-even-mid
Aquaflask,139,431.0,3.1007194244604315,1.411162427697904,1.6817581507125972,0.2774451097804391,0.44779582366589327,0.3334438183626119,1.2240437158469946,0.6259314456035767,7.0909098220799835,0,Drinkware,c0-steady-bursty-mid
Arch @320,130,414.0,3.1846153846153844,1.43141479640036,1.1915730177277697,0.25948103792415167,0.3864734299516908,0.2546583850931677,0.7223744292237444,0.9287671232876713,5.771441123130016,0,Plush & Souvenirs,c0-steady-bursty-mid
Arch @350,66,341.0,5.166666666666667,1.8191584434161694,1.076070834065471,0.1317365269461078,0.3782991202346041,0.2664432341851697,1.9261802575107299,1.4008583690987126,5.860786223465865,0,Plush & Souvenirs,c0-steady-bursty-mid
Automatic Umbrella,83,339.0,4.0843373493975905,1.626164706239414,1.1718354229884056,0.1656686626746507,0.40707964601769914,0.07079646017699115,2.2113821138211383,1.532889874353289,5.860786223465865,0,Umbrellas & Gear,c0-steady-bursty-mid
BASE BALL SHIRT,111,258.0,2.324324324324324,1.201266442728193,1.2817519446419012,0.2215568862275449,0.38372093023255816,0.2857142857142857,0.5580029368575624,0.8691968824127415,6.2166061010848646,2,Shirts & Tops,c2-slow-even-mid
Back pack,17,20.0,1.1764705882352942,0.7777045685880084,0.3340097303971847,0.033932135728542916,0.2,0.24285714285714285,1.0,0.8421052631578947,6.9440872082295275,2,Uncategorised,c2-slow-even-mid
Baller,27,73.0,2.7037037037037037,1.3093333199837622,1.4427750877418917,0.05389221556886228,0.5205479452054794,0.32093933463796476,0.875,0.525,5.017279836814924,1,Uncategorised,c1-steady-bursty-budget-termonly
