sku,method,fold,origin,n_train,horizon,actual_30d,pred_30d,abs_error,naive_scale
26,weekly_hurdle_12w,3,551,551,30,2.0,0.0,2.0,0.0
26,weekly_hurdle_12w,4,581,581,30,2.0,0.7142857142857144,1.2857142857142856,0.1111111111111111
26,weekly_hurdle_12w,5,611,611,30,0.0,1.4285714285714288,1.4285714285714288,0.10526315789473684
26,weekly_hurdle_12w,6,641,641,30,0.0,1.4285714285714288,1.4285714285714288,0.2
26,weekly_hurdle_12w,7,671,671,30,0.0,0.7142857142857144,0.7142857142857144,0.19047619047619047
26,weekly_hurdle_12w,8,701,701,30,0.0,0.0,0.0,0.18181818181818182
26,weekly_hurdle_12w,9,731,731,30,0.0,0.0,0.0,0.17391304347826086
26,weekly_hurdle_12w,10,761,761,30,0.0,0.0,0.0,0.16666666666666666
26,weekly_hurdle_12w,11,791,791,30,0.0,0.0,0.0,0.16
27,weekly_hurdle_12w,0,461,461,30,0.0,0.0,0.0,0.0
27,weekly_hurdle_12w,1,491,491,30,0.0,0.0,0.0,0.0
27,weekly_hurdle_12w,2,521,521,30,0.0,0.0,0.0,0.0
27,weekly_hurdle_12w,3,551,551,30,0.0,0.0,0.0,0.0
27,weekly_hurdle_12w,4,581,581,30,0.0,0.0,0.0,0.0
27,weekly_hurdle_12w,5,611,611,30,1.0,0.0,1.0,0.0
27,weekly_hurdle_12w,6,641,641,30,0.0,0.3571428571428572,0.3571428571428572,0.05
27,weekly_hurdle_12w,7,671,671,30,0.0,0.3571428571428572,0.3571428571428572,0.09523809523809523
27,weekly_hurdle_12w,8,701,701,30,0.0,0.3571428571428572,0.3571428571428572,0.09090909090909091
27,weekly_hurdle_12w,9,731,731,30,0.0,0.0,0.0,0.08695652173913043
27,weekly_hurdle_12w,10,761,761,30,0.0,0.0,0.0,0.08333333333333333
27,weekly_hurdle_12w,11,791,791,30,0.0,0.0,0.0,0.08
28,weekly_hurdle_12w,0,461,461,30,65.0,94.28571428571426,29.285714285714263,29.142857142857142
28,weekly_hurdle_12w,1,491,491,30,90.0,40.714285714285694,49.285714285714306,30.333333333333332
28,weekly_hurdle_12w,2,521,521,30,54.0,61.42857142857146,7.428571428571459,30.0
28,weekly_hurdle_12w,3,551,551,30,44.0,69.99999999999999,25.999999999999986,30.352941176470587
28,weekly_hurdle_12w,4,581,581,30,50.0,64.64285714285714,14.642857142857139,29.22222222222222
28,weekly_hurdle_12w,5,611,611,30,1.0,49.999999999999986,48.999999999999986,28.0
28,weekly_hurdle_12w,6,641,641,30,0.0,32.85714285714286,32.85714285714286,29.05
28,weekly_hurdle_12w,7,671,671,30,0.0,6.428571428571429,6.428571428571429,27.714285714285715
28,weekly_hurdle_12w,8,701,701,30,2.0,0.3571428571428572,1.6428571428571428,26.454545454545453
28,weekly_hurdle_12w,9,731,731,30,18.0,0.7142857142857144,17.285714285714285,25.391304347826086
28,weekly_hurdle_12w,10,761,761,30,34.0,7.142857142857143,26.857142857142858,25.0
28,weekly_hurdle_12w,11,791,791,30,3.0,19.28571428571429,16.28571428571429,24.64
29,weekly_hurdle_12w,0,461,461,30,108.0,131.07142857142858,23.071428571428584,28.428571428571427
29,weekly_hurdle_12w,1,491,491,30,60.0,78.21428571428574,18.214285714285737,30.666666666666668
29,weekly_hurdle_12w,2,521,521,30,139.0,74.28571428571429,64.71428571428571,31.75
29,weekly_hurdle_12w,3,551,551,30,94.0,97.14285714285717,3.142857142857167,34.529411764705884
29,weekly_hurdle_12w,4,581,581,30,281.0,103.21428571428571,177.78571428571428,35.111111111111114
