metric_id,product_id,item_name,tier,validation_method,period_scope,n_obs,mae,rmse,mape,naive_mae,naive_rmse,naive_mape,beats_naive_mae,meets_mape_threshold,snapshot_date,mase,naive_mase
115,358,Tote Bag Canvas White,standard,walk_forward_30d_aggregate,overall,12,83.58333333333334,111.87306795352194,422.07150239347476,123.0,203.30723876274877,651.4739229024943,1,0.0,2026-07-31,0.6185229149093087,0.9102091948216744
116,358,Tote Bag Canvas White,standard,walk_forward_30d_aggregate,standard_period,11,79.00000000000001,109.6403210502414,452.58240143804284,120.0909090909091,207.14092699503794,701.6079158936302,1,0.0,2026-07-31,0.5829194902305034,0.8861181203619043
117,358,Tote Bag Canvas White,standard,walk_forward_30d_aggregate,semestral_break,1,134.0,134.0,86.45161290322581,155.0,155.0,100.0,1,,2026-07-31,1.024203821656051,1.1847133757961783
118,359,Tote Viva Santo Tomas,standard,walk_forward_30d_aggregate,overall,12,50.58333333333332,65.53688528861693,238.72059488289295,88.91666666666667,180.9260898820289,243.65563138300317,1,0.0,2026-07-31,5.025648029549278,8.834211610426824
119,359,Tote Viva Santo Tomas,standard,walk_forward_30d_aggregate,standard_period,11,49.90909090909091,66.17950795168602,261.7210466017451,95.72727272727273,188.92398663820518,272.4616419096522,1,0.0,2026-07-31,4.487441877679962,8.607060650632059
120,359,Tote Viva Santo Tomas,standard,walk_forward_30d_aggregate,semestral_break,1,57.999999999999986,57.999999999999986,54.71698113207546,14.0,14.0,13.20754716981132,0,,2026-07-31,21.749999999999996,5.25
121,377,UST College ID Lace,standard,walk_forward_30d_aggregate,overall,12,150.16666666666666,181.9606184498906,107.15445842807789,184.75,203.89192398588685,161.3516073416663,1,0.0,2026-07-31,1.936717383804197,2.382742752438349
122,377,UST College ID Lace,standard,walk_forward_30d_aggregate,standard_period,11,158.8181818181818,189.32679779586502,108.83125670159819,174.45454545454547,193.0753503404588,132.3249206190612,1,0.0,2026-07-31,2.0412950634049505,2.242269734787693
123,377,UST College ID Lace,standard,walk_forward_30d_aggregate,semestral_break,1,55.00000000000003,55.00000000000003,88.70967741935488,298.0,298.0,480.6451612903226,1,,2026-07-31,0.7371556217423682,3.994043186895011
124,378,UST College ID Lace / GENERIC Lace,minimal,walk_forward_30d_aggregate,overall,12,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
125,378,UST College ID Lace / GENERIC Lace,minimal,walk_forward_30d_aggregate,standard_period,11,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
126,378,UST College ID Lace / GENERIC Lace,minimal,walk_forward_30d_aggregate,semestral_break,1,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
127,380,"UST Embro OS (B,V)",standard,walk_forward_30d_aggregate,overall,12,12.916666666666666,24.608602831801182,133.27185329065026,116.16666666666667,345.2902160984776,554.2479399622257,1,0.0,2026-07-31,5.43196780481524,48.85266528975772
128,380,"UST Embro OS (B,V)",standard,walk_forward_30d_aggregate,standard_period,11,14.090909090909092,25.70284738382819,133.27185329065026,126.72727272727273,360.643868657156,554.2479399622257,1,0.0,2026-07-31,5.925783059798445,53.29381667973569
129,380,"UST Embro OS (B,V)",standard,walk_forward_30d_aggregate,semestral_break,1,0.0,0.0,,0.0,0.0,,0,,2026-07-31,,
130,381,UST Keyboard Clicker (Fidget),simplified,walk_forward_30d_aggregate,overall,12,29.75,58.697671731225135,173.09006596240638,55.833333333333336,120.95591483401435,186.71328671328672,1,0.0,2026-07-31,5.839556219330062,10.959391223952778
131,381,UST Keyboard Clicker (Fidget),simplified,walk_forward_30d_aggregate,standard_period,11,32.45454545454545,61.307718630172204,173.09006596240638,60.90909090909091,126.33433276969343,186.71328671328672,1,0.0,2026-07-31,6.3704249665418855,11.955699517039394
132,381,UST Keyboard Clicker (Fidget),simplified,walk_forward_30d_aggregate,semestral_break,1,0.0,0.0,,0.0,0.0,,0,,2026-07-31,,
