Category,Date,No,Item,Size,Location,Classification,Price,Quantity,OPEX,Notes,canonical_item_name
APPAREL,2024-12-02,60.0,New Yellow 1611 Oat Shirt,2XL,INSIDE,,900.0,7.0,,,New Yellow 1611 Oat Shirt
APPAREL,2024-12-02,60.0,New Yellow 1611 Oat Shirt,2XL,OUTSIDE,,900.0,0.0,,,New Yellow 1611 Oat Shirt
APPAREL,2024-12-02,60.0,New Yellow 1611 Oat Shirt,3XL,INSIDE,,900.0,3.0,,,New Yellow 1611 Oat Shirt
APPAREL,2024-12-02,60.0,New Yellow 1611 Oat Shirt,3XL,OUTSIDE,,900.0,0.0,,,New Yellow 1611 Oat Shirt
APPAREL,2024-12-02,61.0,Black Volleyball Shirt,XS,INSIDE,,900.0,3.0,,,Black Volleyball Shirt
APPAREL,2024-12-02,61.0,Black Volleyball Shirt,XS,OUTSIDE,,900.0,0.0,,,Black Volleyball Shirt
APPAREL,2024-12-02,61.0,Black Volleyball Shirt,Small,INSIDE,,900.0,12.0,,,Black Volleyball Shirt
APPAREL,2024-12-02,61.0,Black Volleyball Shirt,Small,OUTSIDE,,900.0,0.0,,,Black Volleyball Shirt
APPAREL,2024-12-02,61.0,Black Volleyball Shirt,Medium,INSIDE,,900.0,13.0,,,Black Volleyball Shirt
APPAREL,2024-12-02,61.0,Black Volleyball Shirt,Medium,OUTSIDE,,900.0,0.0,,,Black Volleyball Shirt
APPAREL,2024-12-02,61.0,Black Volleyball Shirt,Large,INSIDE,,900.0,10.0,,,Black Volleyball Shirt
APPAREL,2024-12-02,61.0,Black Volleyball Shirt,Large,OUTSIDE,,900.0,0.0,,,Black Volleyball Shirt
APPAREL,2024-12-02,61.0,Black Volleyball Shirt,XL,INSIDE,,900.0,12.0,,,Black Volleyball Shirt
APPAREL,2024-12-02,61.0,Black Volleyball Shirt,XL,OUTSIDE,,900.0,0.0,,,Black Volleyball Shirt
APPAREL,2024-12-02,61.0,Black Volleyball Shirt,2XL,INSIDE,,900.0,13.0,,,Black Volleyball Shirt
APPAREL,2024-12-02,61.0,Black Volleyball Shirt,2XL,OUTSIDE,,900.0,0.0,,,Black Volleyball Shirt
APPAREL,2024-12-02,61.0,Black Volleyball Shirt,3XL,INSIDE,,900.0,10.0,,,Black Volleyball Shirt
APPAREL,2024-12-02,61.0,Black Volleyball Shirt,3XL,OUTSIDE,,900.0,0.0,,,Black Volleyball Shirt
APPAREL,2024-12-02,62.0,JUC Corp Jacket,Small,INSIDE,,1900.0,7.0,,,JUC Corp Jacket
APPAREL,2024-12-02,62.0,JUC Corp Jacket,Small,OUTSIDE,,1900.0,0.0,,,JUC Corp Jacket
APPAREL,2024-12-02,62.0,JUC Corp Jacket,Medium,INSIDE,,1900.0,16.0,,,JUC Corp Jacket
APPAREL,2024-12-02,62.0,JUC Corp Jacket,Medium,OUTSIDE,,1900.0,0.0,,,JUC Corp Jacket
APPAREL,2024-12-02,62.0,JUC Corp Jacket,Large,INSIDE,,1900.0,22.0,,,JUC Corp Jacket
APPAREL,2024-12-02,62.0,JUC Corp Jacket,Large,OUTSIDE,,1900.0,0.0,,,JUC Corp Jacket
APPAREL,2024-12-02,62.0,JUC Corp Jacket,XL,INSIDE,,1900.0,28.0,,,JUC Corp Jacket
APPAREL,2024-12-02,62.0,JUC Corp Jacket,XL,OUTSIDE,,1900.0,0.0,,,JUC Corp Jacket
APPAREL,2024-12-02,62.0,JUC Corp Jacket,2Xl,INSIDE,,1900.0,6.0,,,JUC Corp Jacket
APPAREL,2024-12-02,62.0,JUC Corp Jacket,2Xl,OUTSIDE,,1900.0,0.0,,,JUC Corp Jacket
APPAREL,2024-12-02,63.0,JUC Bomber Jacket,Medium,INSIDE,,1900.0,0.0,,,JUC Bomber Jacket
APPAREL,2024-12-02,63.0,JUC Bomber Jacket,Medium,OUTSIDE,,1900.0,7.0,,,JUC Bomber Jacket
APPAREL,2024-12-02,63.0,JUC Bomber Jacket,Large,INSIDE,,1900.0,0.0,,,JUC Bomber Jacket
APPAREL,2024-12-02,63.0,JUC Bomber Jacket,Large,OUTSIDE,,1900.0,14.0,,,JUC Bomber Jacket
APPAREL,2024-12-02,63.0,JUC Bomber Jacket,XL,INSIDE,,1900.0,0.0,,,JUC Bomber Jacket
APPAREL,2024-12-02,63.0,JUC Bomber Jacket,XL,OUTSIDE,,1900.0,16.0,,,JUC Bomber Jacket
APPAREL,2024-12-02,63.0,JUC Bomber Jacket,2XL,INSIDE,,1900.0,0.0,,,JUC Bomber Jacket
APPAREL,2024-12-02,63.0,JUC Bomber Jacket,2XL,OUTSIDE,,1900.0,11.0,,,JUC Bomber Jacket
APPAREL,2024-12-02,63.0,JUC Bomber Jacket,3XL,INSIDE,,1900.0,0.0,,,JUC Bomber Jacket
APPAREL,2024-12-02,63.0,JUC Bomber Jacket,3XL,OUTSIDE,,1900.0,6.0,,,JUC Bomber Jacket
APPAREL,2024-12-02,64.0,JUC Black Jacket w/ red inside,Large,INSIDE,,1900.0,44.0,,,JUC Black Jacket w/ red inside
APPAREL,2024-12-02,64.0,JUC Black Jacket w/ red inside,Large,OUTSIDE,,1900.0,0.0,,,JUC Black Jacket w/ red inside
APPAREL,2024-12-02,65.0,Yellow Shirt (tiger head print infront),XS,INSIDE,,700.0,0.0,,,Yellow Shirt (tiger head print infront)
APPAREL,2024-12-02,65.0,Yellow Shirt (tiger head print infront),XS,OUTSIDE,,700.0,1.0,,,Yellow Shirt (tiger head print infront)
APPAREL,2024-12-02,65.0,Yellow Shirt (tiger head print infront),XL,INSIDE,,700.0,0.0,,,Yellow Shirt (tiger head print infront)
APPAREL,2024-12-02,65.0,Yellow Shirt (tiger head print infront),XL,OUTSIDE,,700.0,2.0,,,Yellow Shirt (tiger head print infront)
APPAREL,2024-12-02,66.0,Yellow Shirt Volleyball,XS,INSIDE,,700.0,0.0,,,Yellow Shirt Volleyball
APPAREL,2024-12-02,66.0,Yellow Shirt Volleyball,XS,OUTSIDE,,700.0,2.0,,,Yellow Shirt Volleyball
APPAREL,2024-12-02,66.0,Yellow Shirt Volleyball,Small,INSIDE,,700.0,0.0,,,Yellow Shirt Volleyball
APPAREL,2024-12-02,66.0,Yellow Shirt Volleyball,Small,OUTSIDE,,700.0,2.0,,,Yellow Shirt Volleyball
APPAREL,2024-12-02,66.0,Yellow Shirt Volleyball,Medium,INSIDE,,700.0,0.0,,,Yellow Shirt Volleyball
APPAREL,2024-12-02,66.0,Yellow Shirt Volleyball,Medium,OUTSIDE,,700.0,1.0,,,Yellow Shirt Volleyball
APPAREL,2024-12-02,66.0,Yellow Shirt Volleyball,Large,INSIDE,,700.0,0.0,,,Yellow Shirt Volleyball
APPAREL,2024-12-02,66.0,Yellow Shirt Volleyball,Large,OUTSIDE,,700.0,1.0,,,Yellow Shirt Volleyball
APPAREL,2024-12-02,66.0,Yellow Shirt Volleyball,XL,INSIDE,,700.0,0.0,,,Yellow Shirt Volleyball
APPAREL,2024-12-02,66.0,Yellow Shirt Volleyball,XL,OUTSIDE,,700.0,4.0,,,Yellow Shirt Volleyball
APPAREL,2024-12-02,66.0,Yellow Shirt Volleyball,2XL,INSIDE,,700.0,0.0,,,Yellow Shirt Volleyball
APPAREL,2024-12-02,66.0,Yellow Shirt Volleyball,2XL,OUTSIDE,,700.0,2.0,,,Yellow Shirt Volleyball
APPAREL,2024-12-02,66.0,Yellow Shirt Volleyball,3XL,INSIDE,,700.0,0.0,,,Yellow Shirt Volleyball
APPAREL,2024-12-02,66.0,Yellow Shirt Volleyball,3XL,OUTSIDE,,700.0,2.0,,,Yellow Shirt Volleyball
APPAREL,2024-12-02,68.0,IPEA Yellow Shirt Big Tiger Print Infront,Small,INSIDE,,600.0,0.0,,,IPEA Yellow Shirt Big Tiger Print Infront
APPAREL,2024-12-02,68.0,IPEA Yellow Shirt Big Tiger Print Infront,Small,OUTSIDE,,600.0,3.0,,,IPEA Yellow Shirt Big Tiger Print Infront
APPAREL,2024-12-02,68.0,IPEA Yellow Shirt Big Tiger Print Infront,Medium,INSIDE,,600.0,0.0,1.0,,IPEA Yellow Shirt Big Tiger Print Infront
APPAREL,2024-12-02,68.0,IPEA Yellow Shirt Big Tiger Print Infront,Medium,OUTSIDE,,600.0,3.0,1.0,,IPEA Yellow Shirt Big Tiger Print Infront
APPAREL,2024-12-02,68.0,IPEA Yellow Shirt Big Tiger Print Infront,Large,INSIDE,,600.0,0.0,1.0,,IPEA Yellow Shirt Big Tiger Print Infront
APPAREL,2024-12-02,68.0,IPEA Yellow Shirt Big Tiger Print Infront,Large,OUTSIDE,,600.0,11.0,1.0,,IPEA Yellow Shirt Big Tiger Print Infront
APPAREL,2024-12-02,68.0,IPEA Yellow Shirt Big Tiger Print Infront,XL,INSIDE,,600.0,0.0,,,IPEA Yellow Shirt Big Tiger Print Infront
APPAREL,2024-12-02,68.0,IPEA Yellow Shirt Big Tiger Print Infront,XL,OUTSIDE,,600.0,7.0,,,IPEA Yellow Shirt Big Tiger Print Infront
APPAREL,2024-12-02,68.0,IPEA Yellow Shirt Big Tiger Print Infront,2XL,INSIDE,,600.0,0.0,,,IPEA Yellow Shirt Big Tiger Print Infront
APPAREL,2024-12-02,68.0,IPEA Yellow Shirt Big Tiger Print Infront,2XL,OUTSIDE,,600.0,4.0,,,IPEA Yellow Shirt Big Tiger Print Infront
APPAREL,2024-12-02,69.0,White Shirt (script lettering),3XL,INSIDE,,500.0,0.0,,,White Shirt (script lettering)
APPAREL,2024-12-02,69.0,White Shirt (script lettering),3XL,OUTSIDE,,500.0,1.0,,,White Shirt (script lettering)
APPAREL,2024-12-02,70.0,White Shirt (tiger picture),2XL,INSIDE,,500.0,0.0,,,White Shirt (tiger picture)
APPAREL,2024-12-02,70.0,White Shirt (tiger picture),2XL,OUTSIDE,,500.0,0.0,,,White Shirt (tiger picture)
APPAREL,2024-12-02,70.0,White Shirt (tiger picture),3XL,INSIDE,,500.0,0.0,,,White Shirt (tiger picture)
APPAREL,2024-12-02,70.0,White Shirt (tiger picture),3XL,OUTSIDE,,500.0,1.0,,,White Shirt (tiger picture)
APPAREL,2024-12-02,71.0,Dry Fit N ew Shirt Yellow,Small,INSIDE,,700.0,5.0,,,Dry Fit N ew Shirt Yellow
APPAREL,2024-12-02,71.0,Dry Fit N ew Shirt Yellow,Small,OUTSIDE,,700.0,0.0,,,Dry Fit N ew Shirt Yellow
APPAREL,2024-12-02,71.0,Dry Fit N ew Shirt Yellow,Medium,INSIDE,,700.0,10.0,,,Dry Fit N ew Shirt Yellow
APPAREL,2024-12-02,71.0,Dry Fit N ew Shirt Yellow,Medium,OUTSIDE,,700.0,0.0,,,Dry Fit N ew Shirt Yellow
APPAREL,2024-12-02,71.0,Dry Fit N ew Shirt Yellow,Large,INSIDE,,700.0,10.0,,,Dry Fit N ew Shirt Yellow
APPAREL,2024-12-02,71.0,Dry Fit N ew Shirt Yellow,Large,OUTSIDE,,700.0,0.0,,,Dry Fit N ew Shirt Yellow
APPAREL,2024-12-02,71.0,Dry Fit N ew Shirt Yellow,XL,INSIDE,,700.0,10.0,,,Dry Fit N ew Shirt Yellow
APPAREL,2024-12-02,71.0,Dry Fit N ew Shirt Yellow,XL,OUTSIDE,,700.0,0.0,,,Dry Fit N ew Shirt Yellow
APPAREL,2024-12-02,71.0,Dry Fit N ew Shirt Yellow,2XL,INSIDE,,700.0,5.0,,,Dry Fit N ew Shirt Yellow
APPAREL,2024-12-02,71.0,Dry Fit N ew Shirt Yellow,2XL,OUTSIDE,,700.0,0.0,,,Dry Fit N ew Shirt Yellow
APPAREL,2024-12-02,,Dry Fit N ew Shirt Black,Small,INSIDE,,,5.0,,,Dry Fit N ew Shirt Black
APPAREL,2024-12-02,,Dry Fit N ew Shirt Black,Small,OUTSIDE,,,0.0,,,Dry Fit N ew Shirt Black
APPAREL,2024-12-02,,Dry Fit N ew Shirt Black,Medium,INSIDE,,,10.0,,,Dry Fit N ew Shirt Black
APPAREL,2024-12-02,,Dry Fit N ew Shirt Black,Medium,OUTSIDE,,,0.0,,,Dry Fit N ew Shirt Black
APPAREL,2024-12-02,,Dry Fit N ew Shirt Black,Large,INSIDE,,,10.0,,,Dry Fit N ew Shirt Black
APPAREL,2024-12-02,,Dry Fit N ew Shirt Black,Large,OUTSIDE,,,0.0,,,Dry Fit N ew Shirt Black
APPAREL,2024-12-02,,Dry Fit N ew Shirt Black,XL,INSIDE,,,10.0,,,Dry Fit N ew Shirt Black
APPAREL,2024-12-02,,Dry Fit N ew Shirt Black,XL,OUTSIDE,,,0.0,,,Dry Fit N ew Shirt Black
APPAREL,2024-12-02,,Dry Fit N ew Shirt Black,2XL,INSIDE,,,5.0,,,Dry Fit N ew Shirt Black
APPAREL,2024-12-02,,Dry Fit N ew Shirt Black,2XL,OUTSIDE,,,0.0,,,Dry Fit N ew Shirt Black
APPAREL,2024-12-02,72.0,Volleyball Jersey,Medium,INSIDE,,1500.0,2.0,,,Volleyball Jersey
APPAREL,2024-12-02,72.0,Volleyball Jersey,Medium,OUTSIDE,,1500.0,0.0,,,Volleyball Jersey
APPAREL,2024-12-02,,Hernandez,Large,INSIDE,,,8.0,,,Hernandez
APPAREL,2024-12-02,,Hernandez,Large,OUTSIDE,,,0.0,,,Hernandez
APPAREL,2024-12-02,,Hernandez,XL,INSIDE,,,7.0,,,Hernandez
APPAREL,2024-12-02,,Hernandez,XL,OUTSIDE,,,0.0,,,Hernandez
APPAREL,2024-12-02,,Hernandez,2XL,INSIDE,,,4.0,,,Hernandez
APPAREL,2024-12-02,,Hernandez,2XL,OUTSIDE,,,0.0,,,Hernandez
APPAREL,2024-12-02,,Alessandrini,Medium,INSIDE,,,1.0,,,Alessandrini
APPAREL,2024-12-02,,Alessandrini,Medium,OUTSIDE,,,0.0,,,Alessandrini
APPAREL,2024-12-02,,Alessandrini,Large,INSIDE,,,2.0,,,Alessandrini
APPAREL,2024-12-02,,Alessandrini,Large,OUTSIDE,,,0.0,,,Alessandrini
APPAREL,2024-12-02,73.0,Cotton Brush Bomber Jacket,Medium,INSIDE,,1900.0,18.0,,,Cotton Brush Bomber Jacket
APPAREL,2024-12-02,73.0,Cotton Brush Bomber Jacket,Medium,OUTSIDE,,1900.0,0.0,,,Cotton Brush Bomber Jacket
APPAREL,2024-12-02,73.0,Cotton Brush Bomber Jacket,Large,INSIDE,,1900.0,35.0,1.0,,Cotton Brush Bomber Jacket
APPAREL,2024-12-02,73.0,Cotton Brush Bomber Jacket,Large,OUTSIDE,,1900.0,0.0,1.0,,Cotton Brush Bomber Jacket
APPAREL,2024-12-02,73.0,Cotton Brush Bomber Jacket,XL,INSIDE,,1900.0,35.0,,,Cotton Brush Bomber Jacket
APPAREL,2024-12-02,73.0,Cotton Brush Bomber Jacket,XL,OUTSIDE,,1900.0,0.0,,,Cotton Brush Bomber Jacket
APPAREL,2024-12-02,73.0,Cotton Brush Bomber Jacket,2XL,INSIDE,,1900.0,20.0,,,Cotton Brush Bomber Jacket
APPAREL,2024-12-02,73.0,Cotton Brush Bomber Jacket,2XL,OUTSIDE,,1900.0,0.0,,,Cotton Brush Bomber Jacket
APPAREL,2024-12-02,74.0,Corp Black Windbreaker,Small,INSIDE,,1900.0,5.0,,,Corp Black Windbreaker
APPAREL,2024-12-02,74.0,Corp Black Windbreaker,Small,OUTSIDE,,1900.0,0.0,,,Corp Black Windbreaker
APPAREL,2024-12-02,74.0,Corp Black Windbreaker,Medium,INSIDE,,1900.0,19.0,,,Corp Black Windbreaker
APPAREL,2024-12-02,74.0,Corp Black Windbreaker,Medium,OUTSIDE,,1900.0,0.0,,,Corp Black Windbreaker
APPAREL,2024-12-02,74.0,Corp Black Windbreaker,Large,INSIDE,,1900.0,29.0,,,Corp Black Windbreaker
APPAREL,2024-12-02,74.0,Corp Black Windbreaker,Large,OUTSIDE,,1900.0,0.0,,,Corp Black Windbreaker
APPAREL,2024-12-02,74.0,Corp Black Windbreaker,XL,INSIDE,,1900.0,30.0,,,Corp Black Windbreaker
APPAREL,2024-12-02,74.0,Corp Black Windbreaker,XL,OUTSIDE,,1900.0,0.0,,,Corp Black Windbreaker
APPAREL,2024-12-02,74.0,Corp Black Windbreaker,2XL,INSIDE,,1900.0,10.0,,,Corp Black Windbreaker
APPAREL,2024-12-02,74.0,Corp Black Windbreaker,2XL,OUTSIDE,,1900.0,0.0,,,Corp Black Windbreaker
APPAREL,2024-12-02,74.0,Corp Black Windbreaker,3XL,INSIDE,,1900.0,3.0,,,Corp Black Windbreaker
APPAREL,2024-12-02,74.0,Corp Black Windbreaker,3XL,OUTSIDE,,1900.0,0.0,,,Corp Black Windbreaker
APPAREL,2024-12-02,75.0,Quiana Black Subli Shirt,XS,INSIDE,,,30.0,1.0,,Quiana Black Subli Shirt
APPAREL,2024-12-02,75.0,Quiana Black Subli Shirt,XS,OUTSIDE,,,0.0,1.0,,Quiana Black Subli Shirt
APPAREL,2024-12-02,75.0,Quiana Black Subli Shirt,Small,INSIDE,,,30.0,,,Quiana Black Subli Shirt
APPAREL,2024-12-02,75.0,Quiana Black Subli Shirt,Small,OUTSIDE,,,0.0,,,Quiana Black Subli Shirt
APPAREL,2024-12-02,75.0,Quiana Black Subli Shirt,Medium,INSIDE,,,30.0,1.0,,Quiana Black Subli Shirt
APPAREL,2024-12-02,75.0,Quiana Black Subli Shirt,Medium,OUTSIDE,,,0.0,1.0,,Quiana Black Subli Shirt
APPAREL,2024-12-02,75.0,Quiana Black Subli Shirt,Large,INSIDE,,,30.0,,,Quiana Black Subli Shirt
APPAREL,2024-12-02,75.0,Quiana Black Subli Shirt,Large,OUTSIDE,,,0.0,,,Quiana Black Subli Shirt
APPAREL,2024-12-02,75.0,Quiana Black Subli Shirt,XL,INSIDE,,,30.0,,,Quiana Black Subli Shirt
APPAREL,2024-12-02,75.0,Quiana Black Subli Shirt,XL,OUTSIDE,,,0.0,,,Quiana Black Subli Shirt
APPAREL,2024-12-02,75.0,Quiana Black Subli Shirt,2XL,INSIDE,,,30.0,,,Quiana Black Subli Shirt
APPAREL,2024-12-02,75.0,Quiana Black Subli Shirt,2XL,OUTSIDE,,,0.0,,,Quiana Black Subli Shirt
APPAREL,2024-12-02,75.0,Quiana Black Subli Shirt,3XL,INSIDE,,,30.0,,,Quiana Black Subli Shirt
APPAREL,2024-12-02,75.0,Quiana Black Subli Shirt,3XL,OUTSIDE,,,0.0,,,Quiana Black Subli Shirt
APPAREL,2024-12-02,75.0,Quiana Black Subli Shirt,4XL,INSIDE,,,30.0,,,Quiana Black Subli Shirt
APPAREL,2024-12-02,75.0,Quiana Black Subli Shirt,4XL,OUTSIDE,,,0.0,,,Quiana Black Subli Shirt
APPAREL,2024-12-02,76.0,Quiana Yelloow Subli Shirt,XS,INSIDE,,,30.0,,,Quiana Yelloow Subli Shirt
APPAREL,2024-12-02,76.0,Quiana Yelloow Subli Shirt,XS,OUTSIDE,,,0.0,,,Quiana Yelloow Subli Shirt
APPAREL,2024-12-02,76.0,Quiana Yelloow Subli Shirt,Small,INSIDE,,,30.0,,,Quiana Yelloow Subli Shirt
APPAREL,2024-12-02,76.0,Quiana Yelloow Subli Shirt,Small,OUTSIDE,,,0.0,,,Quiana Yelloow Subli Shirt
APPAREL,2024-12-02,76.0,Quiana Yelloow Subli Shirt,Medium,INSIDE,,,30.0,,,Quiana Yelloow Subli Shirt
APPAREL,2024-12-02,76.0,Quiana Yelloow Subli Shirt,Medium,OUTSIDE,,,0.0,,,Quiana Yelloow Subli Shirt
APPAREL,2024-12-02,76.0,Quiana Yelloow Subli Shirt,Large,INSIDE,,,30.0,,,Quiana Yelloow Subli Shirt
APPAREL,2024-12-02,76.0,Quiana Yelloow Subli Shirt,Large,OUTSIDE,,,0.0,,,Quiana Yelloow Subli Shirt
APPAREL,2024-12-02,76.0,Quiana Yelloow Subli Shirt,XL,INSIDE,,,30.0,,,Quiana Yelloow Subli Shirt
APPAREL,2024-12-02,76.0,Quiana Yelloow Subli Shirt,XL,OUTSIDE,,,0.0,,,Quiana Yelloow Subli Shirt
APPAREL,2024-12-02,76.0,Quiana Yelloow Subli Shirt,2XL,INSIDE,,,30.0,,,Quiana Yelloow Subli Shirt
APPAREL,2024-12-02,76.0,Quiana Yelloow Subli Shirt,2XL,OUTSIDE,,,0.0,,,Quiana Yelloow Subli Shirt
APPAREL,2024-12-02,76.0,Quiana Yelloow Subli Shirt,3XL,INSIDE,,,30.0,,,Quiana Yelloow Subli Shirt
APPAREL,2024-12-02,76.0,Quiana Yelloow Subli Shirt,3XL,OUTSIDE,,,0.0,,,Quiana Yelloow Subli Shirt
APPAREL,2024-12-02,76.0,Quiana Yelloow Subli Shirt,4XL,INSIDE,,,30.0,,,Quiana Yelloow Subli Shirt
APPAREL,2024-12-02,76.0,Quiana Yelloow Subli Shirt,4XL,OUTSIDE,,,0.0,,,Quiana Yelloow Subli Shirt
NON-APPAREL,2024-12-01,1.0,Power Bank (display included),,,Small White,2000.0,7.0,,,Power Bank (display included)
NON-APPAREL,2024-12-01,2.0,Power Bank (display included),,,Small Black,2000.0,6.0,,,Power Bank (display included)
NON-APPAREL,2024-12-01,3.0,Power Bank (display included),,,Big White,2000.0,6.0,,,Power Bank (display included)
NON-APPAREL,2024-12-01,4.0,Power Bank (display included),,,Big Black,2000.0,10.0,,,Power Bank (display included)
NON-APPAREL,2024-12-01,5.0,Charger (display included),,,TA U15 C-L SET,1200.0,25.0,,,Charger (display included)
NON-APPAREL,2024-12-01,6.0,Charger (display included),,,TA U15 C-C SET,1200.0,24.0,,,Charger (display included)
NON-APPAREL,2024-12-01,7.0,Charger (display included),,,TA U206 PRO SET (TYPE C),1200.0,24.0,,,Charger (display included)
NON-APPAREL,2024-12-01,8.0,Charger (display included),,,TA U206 PRO SET (IPHONE),1000.0,25.0,,,Charger (display included)
NON-APPAREL,2024-12-01,9.0,Charger (display included),,,TA UI SET A-C (TYPE C),600.0,25.0,,,Charger (display included)
NON-APPAREL,2024-12-01,10.0,Charger (display included),,,TA UI SET (MICRO),700.0,24.0,,,Charger (display included)
NON-APPAREL,2024-12-01,11.0,Charger (display included),,,TA UI SET A-L (IPHONE),600.0,25.0,,,Charger (display included)
NON-APPAREL,2024-12-01,12.0,Charger (display included),,,TA U2 SET BLACK,700.0,24.0,,,Charger (display included)
NON-APPAREL,2024-12-01,13.0,Charger (display included),,,TA U2 SET PINK,700.0,25.0,,,Charger (display included)
NON-APPAREL,2024-12-01,14.0,Varsity Sticker,,,,150.0,66.0,,,Varsity Sticker
NON-APPAREL,2024-12-01,15.0,Ballpen (display included),,,,30.0,103.0,,,Ballpen (display included)
NON-APPAREL,2024-12-01,16.0,New Freshman Kit,,,,850.0,39.0,9.0,,New Freshman Kit
NON-APPAREL,2024-12-01,17.0,Yellow Aquaflask (display included),,,,1200.0,46.0,,,Yellow Aquaflask (display included)
NON-APPAREL,2024-12-01,18.0,Black  Aquaflask (display included),,,,1200.0,15.0,,,Black Aquaflask (display included)
NON-APPAREL,2024-12-01,19.0,Black Laptop Bag,,,,1450.0,12.0,,,Black Laptop Bag
NON-APPAREL,2024-12-01,20.0,Yelow Laptop Bag,,,,1450.0,7.0,,,Yelow Laptop Bag
NON-APPAREL,2024-12-01,21.0,Artic Back Pack,,,,1750.0,6.0,,,Artic Back Pack
NON-APPAREL,2024-12-01,22.0,Forward Back Pack,,,,1750.0,16.0,,,Forward Back Pack
NON-APPAREL,2024-12-01,23.0,New Umbrella,,,,350.0,84.0,3.0,,New Umbrella
NON-APPAREL,2024-12-01,24.0,Black UST Tote Bag,,,,350.0,75.0,,,Black UST Tote Bag
NON-APPAREL,2024-12-01,25.0,Utensils ( display included),,,,250.0,73.0,3.0,,Utensils ( display included)
NON-APPAREL,2024-12-01,26.0,New Baller,,,,150.0,24.0,,,New Baller
NON-APPAREL,2024-12-01,27.0,New UST Keychain,,,,150.0,43.0,,,New UST Keychain
NON-APPAREL,2024-12-01,28.0,Old Scarves (UNIVERSITY OF STO.TOMAS),,,,500.0,31.0,,,Old Scarves (UNIVERSITY OF STO.TOMAS)
NON-APPAREL,2024-12-01,29.0,New Scarves (GO USTE),,,,500.0,48.0,,,New Scarves (GO USTE)
NON-APPAREL,2024-12-01,30.0,UST College Lanyard (display included),,,,140.0,385.0,,,UST College Lanyard (display included)
NON-APPAREL,2024-12-01,31.0,Ust Generic Lanyard (display included),,,,140.0,3.0,,,Ust Generic Lanyard (display included)
NON-APPAREL,2024-12-01,32.0,Ballpen w/ Box,,,,350.0,52.0,,,Ballpen w/ Box
NON-APPAREL,2024-12-01,33.0,Bucket Hat (display included),,,,200.0,337.0,,,Bucket Hat (display included)
NON-APPAREL,2024-12-01,34.0,Yellow/Black Lanyard,,,,190.0,459.0,,,Yellow/Black Lanyard
NON-APPAREL,2024-12-01,35.0,Yellow Lanyard,,,,180.0,286.0,,,Yellow Lanyard
NON-APPAREL,2024-12-01,36.0,Black Lanyard,,,,180.0,223.0,2.0,,Black Lanyard
NON-APPAREL,2024-12-01,37.0,Paperweight,,,,330.0,37.0,3.0,,Paperweight
NON-APPAREL,2024-12-01,38.0,Black Golf Umbrella,,,,650.0,89.0,,,Black Golf Umbrella
NON-APPAREL,2024-12-01,39.0,Yellow Gold Umbrella,,,,650.0,66.0,3.0,,Yellow Gold Umbrella
NON-APPAREL,2024-12-01,40.0,Small Tiger (display Included),,,,750.0,74.0,,,Small Tiger (display Included)
NON-APPAREL,2024-12-01,41.0,Big Tiger (display Included),,,,850.0,33.0,5.0,,Big Tiger (display Included)
NON-APPAREL,2024-12-01,42.0,College Keychain,,,,200.0,,,,College Keychain
NON-APPAREL,2024-12-01,43.0,White Tote Bag,,,,160.0,,,,White Tote Bag
NON-APPAREL,2024-12-01,44.0,Arch,,,,320.0,74.0,,,Arch
NON-APPAREL,2024-12-01,45.0,UST Long Sticker,,,,120.0,29.0,,,UST Long Sticker
NON-APPAREL,2024-12-01,46.0,Black Eco Bag,,,,50.0,,4.0,,Black Eco Bag
NON-APPAREL,2024-12-01,47.0,New Clappers,,,,18.0,758.0,,,New Clappers
NON-APPAREL,2024-12-01,48.0,Viva Sto.Tomas Tote Bag,,,,350.0,200.0,1.0,,Tote Viva Santo Tomas
NON-APPAREL,2024-12-01,46.0,UST Keychain,,,,160.0,100.0,,,UST Keychain
APPAREL,2025-01-08,1.0,Black Sporty Sweatshirt,XS,INSIDE,,1450.0,29.0,,,Black Sporty Sweatshirt
APPAREL,2025-01-08,1.0,Black Sporty Sweatshirt,XS,OUTSIDE,,1450.0,0.0,,,Black Sporty Sweatshirt
APPAREL,2025-01-08,1.0,Black Sporty Sweatshirt,Small,INSIDE,,1450.0,38.0,,,Black Sporty Sweatshirt
APPAREL,2025-01-08,1.0,Black Sporty Sweatshirt,Small,OUTSIDE,,1450.0,1.0,,,Black Sporty Sweatshirt
APPAREL,2025-01-08,1.0,Black Sporty Sweatshirt,Medium,INSIDE,,1450.0,6.0,,,Black Sporty Sweatshirt
APPAREL,2025-01-08,1.0,Black Sporty Sweatshirt,Medium,OUTSIDE,,1450.0,11.0,,,Black Sporty Sweatshirt
APPAREL,2025-01-08,1.0,Black Sporty Sweatshirt,Large,INSIDE,,1450.0,4.0,,,Black Sporty Sweatshirt
APPAREL,2025-01-08,1.0,Black Sporty Sweatshirt,Large,OUTSIDE,,1450.0,11.0,,,Black Sporty Sweatshirt
APPAREL,2025-01-08,1.0,Black Sporty Sweatshirt,XL,INSIDE,,1450.0,39.0,1.0,,Black Sporty Sweatshirt
APPAREL,2025-01-08,1.0,Black Sporty Sweatshirt,XL,OUTSIDE,,1450.0,6.0,1.0,,Black Sporty Sweatshirt
