Category,Date,No,Item,Size,Location,Classification,Price,Quantity,OPEX,Notes,canonical_item_name
MAIN STORAGE,2024-11-09,11.0,2 Color Polo Shirt (white w/yellow sleeves),Medium,,,800.0,40.0,,,2 Color Polo Shirt (white w/yellow sleeves)
MAIN STORAGE,2024-11-09,11.0,2 Color Polo Shirt (white w/yellow sleeves),Large,,,800.0,46.0,,,2 Color Polo Shirt (white w/yellow sleeves)
MAIN STORAGE,2024-11-09,12.0,2 Color Polo Shirt (white w/black collar),Medium,,,800.0,40.0,,,2 Color Polo Shirt (white w/black collar)
MAIN STORAGE,2024-11-09,12.0,2 Color Polo Shirt (white w/black collar),Large,,,800.0,30.0,,,2 Color Polo Shirt (white w/black collar)
MAIN STORAGE,2024-11-09,13.0,2 Color Polo Shirt (white w/black sleeves),Medium,,,800.0,30.0,,L-5(05-13-25),2 Color Polo Shirt (white w/black sleeves)
MAIN STORAGE,2024-11-09,13.0,2 Color Polo Shirt (white w/black sleeves),Large,,,800.0,38.0,,,2 Color Polo Shirt (white w/black sleeves)
MAIN STORAGE,2024-11-09,13.0,2 Color Polo Shirt (white w/black sleeves),XL,,,800.0,40.0,,,2 Color Polo Shirt (white w/black sleeves)
MAIN STORAGE,2024-11-09,14.0,2 Color Polo Shirt (white w/black top w/yellow line),Medium,,,800.0,40.0,,Medium - 20 pcs. (03-18-25),2 Color Polo Shirt (white w/black top w/yellow line)
MAIN STORAGE,2024-11-09,14.0,2 Color Polo Shirt (white w/black top w/yellow line),Large,,,800.0,40.0,,Large - 5 pcs. (05-13-25),2 Color Polo Shirt (white w/black top w/yellow line)
MAIN STORAGE,2024-11-09,14.0,2 Color Polo Shirt (white w/black top w/yellow line),XL,,,800.0,40.0,,XL - 20 pcs. (03-17-25),2 Color Polo Shirt (white w/black top w/yellow line)
MAIN STORAGE,2024-11-09,15.0,2 Color Polo Shirt (yellow w/black collar),Medium,,,800.0,26.0,,,2 Color Polo Shirt (yellow w/black collar)
MAIN STORAGE,2024-11-09,15.0,2 Color Polo Shirt (yellow w/black collar),Large,,,800.0,28.0,,,2 Color Polo Shirt (yellow w/black collar)
MAIN STORAGE,2024-11-09,15.0,2 Color Polo Shirt (yellow w/black collar),XL,,,800.0,38.0,,,2 Color Polo Shirt (yellow w/black collar)
MAIN STORAGE,2024-11-09,16.0,Windbreaker,Large,,,1650.0,32.0,,XL - 16 pcs. and L - 17 pcs. 12/14/2024,Windbreaker
MAIN STORAGE,2024-11-09,16.0,Windbreaker,XL,,,1650.0,16.0,,L - 15 pcs. 01/16/2025,Windbreaker
MAIN STORAGE,2024-11-09,17.0,Napoliz Hoodie (black/yellow/green inside),Medium,,,1900.0,5.0,,ALL SIZES,Napoliz Hoodie (black/yellow/green inside)
MAIN STORAGE,2024-11-09,17.0,Napoliz Hoodie (black/yellow/green inside),Large,,,1900.0,14.0,,ARE TAKEN,Napoliz Hoodie (black/yellow/green inside)
