fold,origin,origin_date,sku,category,actual_30d,naive_denom,arm,method,yhat,abs_err,sq_err,mase
0,461,2025-08-06,112,Keychains & Charms,76.0,32.785714285714285,per-SKU,persku_rolling_mean_30,56.999999999999986,19.000000000000014,361.00000000000057,0.5795206971677564
0,461,2025-08-06,112,Keychains & Charms,76.0,32.785714285714285,per-SKU,persku_rolling_mean_180,60.49999999999999,15.500000000000007,240.25000000000023,0.47276688453159066
0,461,2025-08-06,112,Keychains & Charms,76.0,32.785714285714285,per-SKU,persku_tsb,60.97735949442375,15.022640505576248,225.6797277597802,0.45820689995221675
0,461,2025-08-06,112,Keychains & Charms,76.0,32.785714285714285,per-SKU,persku_ewma_a0.1,85.40789732133136,9.407897321331362,88.50853200871381,0.28695111655476924
0,461,2025-08-06,112,Keychains & Charms,76.0,32.785714285714285,top-down,topdown_RM6_180,44.64948453608246,31.35051546391754,982.8548198533327,0.9562248725377899
0,461,2025-08-06,112,Keychains & Charms,76.0,32.785714285714285,top-down,topdown_rolling_mean_30,37.6958762886598,38.3041237113402,1467.2058932936548,1.168317498820834
0,461,2025-08-06,112,Keychains & Charms,76.0,32.785714285714285,top-down,topdown_tsb,41.85804497805402,34.14195502194598,1165.6730927205824,1.0413668198414896
0,461,2025-08-06,148,Lanyards & IDs,0.0,0.0,per-SKU,persku_rolling_mean_30,0.0,0.0,0.0,
0,461,2025-08-06,148,Lanyards & IDs,0.0,0.0,per-SKU,persku_rolling_mean_180,0.0,0.0,0.0,
0,461,2025-08-06,148,Lanyards & IDs,0.0,0.0,per-SKU,persku_tsb,0.0,0.0,0.0,
0,461,2025-08-06,148,Lanyards & IDs,0.0,0.0,per-SKU,persku_ewma_a0.1,0.0,0.0,0.0,
0,461,2025-08-06,148,Lanyards & IDs,0.0,0.0,top-down,topdown_RM6_180,0.0,0.0,0.0,
0,461,2025-08-06,148,Lanyards & IDs,0.0,0.0,top-down,topdown_rolling_mean_30,0.0,0.0,0.0,
0,461,2025-08-06,148,Lanyards & IDs,0.0,0.0,top-down,topdown_tsb,0.0,0.0,0.0,
0,461,2025-08-06,156,Bags,37.0,0.5,per-SKU,persku_rolling_mean_30,7.0,30.0,900.0,60.0
0,461,2025-08-06,156,Bags,37.0,0.5,per-SKU,persku_rolling_mean_180,1.166666666666667,35.833333333333336,1284.027777777778,71.66666666666667
0,461,2025-08-06,156,Bags,37.0,0.5,per-SKU,persku_tsb,16.2223425,20.7776575,431.7110511873063,41.555315
0,461,2025-08-06,156,Bags,37.0,0.5,per-SKU,persku_ewma_a0.1,14.509800000000006,22.490199999999994,505.80909603999976,44.98039999999999
0,461,2025-08-06,156,Bags,37.0,0.5,top-down,topdown_RM6_180,2.7698412698412698,34.23015873015873,1171.7037666918618,68.46031746031746
0,461,2025-08-06,156,Bags,37.0,0.5,top-down,topdown_rolling_mean_30,1.7142857142857146,35.285714285714285,1245.0816326530612,70.57142857142857
0,461,2025-08-06,156,Bags,37.0,0.5,top-down,topdown_tsb,1.7024002901386908,35.29759970986131,1245.9205452776011,70.59519941972262
0,461,2025-08-06,174,Uncategorised,0.0,0.0,per-SKU,persku_rolling_mean_30,0.0,0.0,0.0,
0,461,2025-08-06,174,Uncategorised,0.0,0.0,per-SKU,persku_rolling_mean_180,0.0,0.0,0.0,
0,461,2025-08-06,174,Uncategorised,0.0,0.0,per-SKU,persku_tsb,0.0,0.0,0.0,
0,461,2025-08-06,174,Uncategorised,0.0,0.0,per-SKU,persku_ewma_a0.1,0.0,0.0,0.0,
0,461,2025-08-06,174,Uncategorised,0.0,0.0,top-down,topdown_RM6_180,0.0,0.0,0.0,
0,461,2025-08-06,174,Uncategorised,0.0,0.0,top-down,topdown_rolling_mean_30,0.0,0.0,0.0,
0,461,2025-08-06,174,Uncategorised,0.0,0.0,top-down,topdown_tsb,0.0,0.0,0.0,
0,461,2025-08-06,187,Outerwear,0.0,0.0,per-SKU,persku_rolling_mean_30,0.0,0.0,0.0,
0,461,2025-08-06,187,Outerwear,0.0,0.0,per-SKU,persku_rolling_mean_180,0.0,0.0,0.0,
0,461,2025-08-06,187,Outerwear,0.0,0.0,per-SKU,persku_tsb,0.0,0.0,0.0,
0,461,2025-08-06,187,Outerwear,0.0,0.0,per-SKU,persku_ewma_a0.1,0.0,0.0,0.0,
0,461,2025-08-06,187,Outerwear,0.0,0.0,top-down,topdown_RM6_180,0.0,0.0,0.0,
0,461,2025-08-06,187,Outerwear,0.0,0.0,top-down,topdown_rolling_mean_30,0.0,0.0,0.0,
0,461,2025-08-06,187,Outerwear,0.0,0.0,top-down,topdown_tsb,0.0,0.0,0.0,
0,461,2025-08-06,190,Lanyards & IDs,227.0,3.857142857142857,per-SKU,persku_rolling_mean_30,53.999999999999986,173.0,29929.0,44.85185185185185
0,461,2025-08-06,190,Lanyards & IDs,227.0,3.857142857142857,per-SKU,persku_rolling_mean_180,26.833333333333343,200.16666666666666,40066.69444444444,51.895061728395056
0,461,2025-08-06,190,Lanyards & IDs,227.0,3.857142857142857,per-SKU,persku_tsb,57.135720143092506,169.8642798569075,28853.87357130579,44.038887370309354
0,461,2025-08-06,190,Lanyards & IDs,227.0,3.857142857142857,per-SKU,persku_ewma_a0.1,102.69128512934503,124.30871487065497,15452.656592793795,32.228185336836475
0,461,2025-08-06,190,Lanyards & IDs,227.0,3.857142857142857,top-down,topdown_RM6_180,35.38697624766481,191.61302375233518,36715.55087151297,49.67745060245727
0,461,2025-08-06,190,Lanyards & IDs,227.0,3.857142857142857,top-down,topdown_rolling_mean_30,48.89111289031225,178.10888710968774,31722.775667451493,46.176378139548675
0,461,2025-08-06,190,Lanyards & IDs,227.0,3.857142857142857,top-down,topdown_tsb,54.69958302158187,172.30041697841813,29687.43369093676,44.67047847588618
0,461,2025-08-06,192,Lanyards & IDs,0.0,0.0,per-SKU,persku_rolling_mean_30,0.0,0.0,0.0,
0,461,2025-08-06,192,Lanyards & IDs,0.0,0.0,per-SKU,persku_rolling_mean_180,0.0,0.0,0.0,
0,461,2025-08-06,192,Lanyards & IDs,0.0,0.0,per-SKU,persku_tsb,0.0,0.0,0.0,
0,461,2025-08-06,192,Lanyards & IDs,0.0,0.0,per-SKU,persku_ewma_a0.1,0.0,0.0,0.0,
0,461,2025-08-06,192,Lanyards & IDs,0.0,0.0,top-down,topdown_RM6_180,0.0,0.0,0.0,
0,461,2025-08-06,192,Lanyards & IDs,0.0,0.0,top-down,topdown_rolling_mean_30,0.0,0.0,0.0,
0,461,2025-08-06,192,Lanyards & IDs,0.0,0.0,top-down,topdown_tsb,0.0,0.0,0.0,
0,461,2025-08-06,209,Keychains & Charms,0.0,27.214285714285715,per-SKU,persku_rolling_mean_30,0.0,0.0,0.0,0.0
0,461,2025-08-06,209,Keychains & Charms,0.0,27.214285714285715,per-SKU,persku_rolling_mean_180,0.0,0.0,0.0,0.0
0,461,2025-08-06,209,Keychains & Charms,0.0,27.214285714285715,per-SKU,persku_tsb,4.2327433092013987e-07,4.2327433092013987e-07,1.7916115921589209e-13,1.5553387487879154e-08
0,461,2025-08-06,209,Keychains & Charms,0.0,27.214285714285715,per-SKU,persku_ewma_a0.1,1.9354161780740982e-07,1.9354161780740982e-07,3.745835782350949e-14,7.111765483736843e-09
0,461,2025-08-06,209,Keychains & Charms,0.0,27.214285714285715,top-down,topdown_RM6_180,0.0,0.0,0.0,0.0
0,461,2025-08-06,209,Keychains & Charms,0.0,27.214285714285715,top-down,topdown_rolling_mean_30,0.0,0.0,0.0,0.0
0,461,2025-08-06,209,Keychains & Charms,0.0,27.214285714285715,top-down,topdown_tsb,0.0,0.0,0.0,0.0
0,461,2025-08-06,212,Stationery,156.0,1.1428571428571428,per-SKU,persku_rolling_mean_30,16.0,140.0,19600.0,122.5
0,461,2025-08-06,212,Stationery,156.0,1.1428571428571428,per-SKU,persku_rolling_mean_180,4.833333333333336,151.16666666666666,22851.36111111111,132.27083333333334
0,461,2025-08-06,212,Stationery,156.0,1.1428571428571428,per-SKU,persku_tsb,9.15682595485643,146.84317404514357,21562.917763652327,128.48777728950063
0,461,2025-08-06,212,Stationery,156.0,1.1428571428571428,per-SKU,persku_ewma_a0.1,24.957904425616583,131.0420955743834,17172.030812525834,114.6618336275855
0,461,2025-08-06,212,Stationery,156.0,1.1428571428571428,top-down,topdown_RM6_180,8.990968427443837,147.00903157255615,21611.655363900813,128.63290262598665
0,461,2025-08-06,212,Stationery,156.0,1.1428571428571428,top-down,topdown_rolling_mean_30,5.374772313296903,150.62522768670308,22687.959215671144,131.7970742258652
0,461,2025-08-06,212,Stationery,156.0,1.1428571428571428,top-down,topdown_tsb,5.647911473987007,150.352088526013,22605.75052413405,131.5580774602614
0,461,2025-08-06,213,Stationery,0.0,7.285714285714286,per-SKU,persku_rolling_mean_30,0.0,0.0,0.0,0.0
0,461,2025-08-06,213,Stationery,0.0,7.285714285714286,per-SKU,persku_rolling_mean_180,15.333333333333332,15.333333333333332,235.1111111111111,2.104575163398693
0,461,2025-08-06,213,Stationery,0.0,7.285714285714286,per-SKU,persku_tsb,0.0664678923421615,0.0664678923421615,0.004417980712409171,0.009123044046963343
0,461,2025-08-06,213,Stationery,0.0,7.285714285714286,per-SKU,persku_ewma_a0.1,0.060525030060592844,0.060525030060592844,0.0036632792638356675,0.008307357067140194
0,461,2025-08-06,213,Stationery,0.0,7.285714285714286,top-down,topdown_RM6_180,12.711369156041288,12.711369156041288,161.5789058211578,1.7446977272997846
0,461,2025-08-06,213,Stationery,0.0,7.285714285714286,top-down,topdown_rolling_mean_30,7.598816029143898,7.598816029143898,57.74200504477424,1.0429747490981822
0,461,2025-08-06,213,Stationery,0.0,7.285714285714286,top-down,topdown_tsb,7.984978290809217,7.984978290809217,63.75987830469448,1.09597741246401
0,461,2025-08-06,215,Lanyards & IDs,1046.0,65.64285714285714,per-SKU,persku_rolling_mean_30,322.00000000000006,724.0,524176.0,11.029379760609359
0,461,2025-08-06,215,Lanyards & IDs,1046.0,65.64285714285714,per-SKU,persku_rolling_mean_180,187.5,858.5,737022.25,13.078346028291621
0,461,2025-08-06,215,Lanyards & IDs,1046.0,65.64285714285714,per-SKU,persku_tsb,317.5609842061164,728.4390157938835,530623.3997307617,11.097003505021076
0,461,2025-08-06,215,Lanyards & IDs,1046.0,65.64285714285714,per-SKU,persku_ewma_a0.1,638.2484370984588,407.7515629015412,166261.33704864953,6.211666899479409
0,461,2025-08-06,215,Lanyards & IDs,1046.0,65.64285714285714,top-down,topdown_RM6_180,197.85935414998676,848.1406458500132,719342.5551428776,12.920532145702053
