method,pred_top20_share_pct,actual_top20_share_pct,share_error_pp,spearman_rho,total_pred_pct_of_actual,n_skus_forecast_zero,n_skus,abs_share_error_pp
rolling_mean_14,60.23661408575872,60.75966368495984,-0.5230495992011228,0.9715943657881029,103.63445886050447,14,58,0.5230495992011228
tsb,61.302918272165336,60.75966368495984,0.5432545872054959,0.9789284168068076,101.82935238573131,0,58,0.5432545872054959
rolling_mean_30,61.477331943720685,60.75966368495984,0.7176682587608454,0.9959198986280857,103.09721438740699,13,58,0.7176682587608454
ewma_a0.1,61.570814649372636,60.75966368495984,0.8111509644127963,0.9737859447438351,108.39425147267241,0,58,0.8111509644127963
extra_trees,62.12829281363998,60.75966368495984,1.3686291286801406,0.9039439949407319,112.32901831703967,4,58,1.3686291286801406
sba,59.35438417993889,60.75966368495984,-1.4052795050209497,0.39417358150157655,156.36357689003324,0,58,1.4052795050209497
croston,59.35438417993888,60.75966368495984,-1.4052795050209568,0.39417358150157655,164.59323883161395,0,58,1.4052795050209568
gradient_boosting,62.43307029806123,60.75966368495984,1.6734066131013918,0.9096759448658059,108.53572631453422,4,58,1.6734066131013918
rolling_mean_60,62.46221342393194,60.75966368495984,1.7025497389721025,0.9821499851147719,100.41367824428507,13,58,1.7025497389721025
seasonal_naive_7,62.71573417131073,60.75966368495984,1.9560704863508889,0.9359332346509633,109.41789561339888,14,58,1.9560704863508889
random_forest,62.78551828405504,60.75966368495984,2.0258545990951973,0.908467587854574,111.95552753866951,4,58,2.0258545990951973
RM6_6day,62.84756703078451,60.75966368495984,2.087903345824671,0.9196799051570835,108.20103688183308,14,58,2.087903345824671
xgboost,62.931858800154515,60.75966368495984,2.1721951151946755,0.8920773094201732,106.50813717683617,4,58,2.1721951151946755
weekly_hurdle_12w,62.985698737899305,60.75966368495984,2.2260350529394657,0.9679431715445663,100.48965996262315,10,58,2.2260350529394657
RM3_3month_90d,63.44128465057863,60.75966368495984,2.681620965618791,0.9562344320312408,99.81106902696071,10,58,2.681620965618791
prophet_cal,57.73944317799822,60.75966368495984,-3.0202205069616213,0.8748088469052987,133.5693075248461,0,58,3.0202205069616213
prophet_plain,57.57395863085815,60.75966368495984,-3.185705054101689,0.8771632317052138,131.26057338877104,0,58,3.185705054101689
lightgbm,64.79185167395258,60.75966368495984,4.032187988992739,0.9014033468658341,105.59618543739188,4,58,4.032187988992739
ets,56.69176570885039,60.75966368495984,-4.06789797610945,0.8705957372633455,133.0945078197496,1,58,4.06789797610945
RM6_6month_180d,65.19471848934722,60.75966368495984,4.435054804387384,0.882790311999034,99.2465146264808,9,58,4.435054804387384
ewma_a0.3,65.27701593629128,60.75966368495984,4.517352251331438,0.9276276111665521,124.5379610973443,0,58,4.517352251331438
xgboost_pooled,55.091101673192746,60.75966368495984,-5.668562011767094,0.9414344796452551,108.14317440347469,0,58,5.668562011767094
lightgbm_pooled,55.04478797131575,60.75966368495984,-5.714875713644091,0.9407677151144342,106.72029035020194,0,58,5.714875713644091
rolling_q75_30,67.72515249372084,60.75966368495984,6.965488808761002,0.9128121938767136,112.29752598920139,14,58,6.965488808761002
random_forest_pooled,53.69721478579404,60.75966368495984,-7.062448899165801,0.9474140553156322,107.59550416344136,0,58,7.062448899165801
RM3_3day,67.86506879715934,60.75966368495984,7.105405112199499,0.8739411903411042,121.04117978886292,14,58,7.105405112199499
ridge,69.87571480258251,60.75966368495984,9.116051117622668,0.8488243251206954,174.99215610358786,4,58,9.116051117622668
naive,71.39857202855943,60.75966368495984,10.638908343599589,0.8669222407609145,191.87686356676605,15,58,10.638908343599589
rolling_median_30,78.92670157068063,60.75966368495984,18.167037885720795,0.8007708530723551,30.784108308485777,22,58,18.167037885720795
